state,date,age_group,fertility_rate
Johor,2001-01-01,15-19,13.0
Johor,2001-01-01,20-24,90.0
Johor,2001-01-01,25-29,178.0
Johor,2001-01-01,30-34,153.0
Johor,2001-01-01,35-39,91.0
Johor,2001-01-01,40-44,27.0
Johor,2001-01-01,45-49,3.0
Johor,2001-01-01,tfr,2.78
Johor,2002-01-01,15-19,11.0
Johor,2002-01-01,20-24,84.0
Johor,2002-01-01,25-29,172.0
Johor,2002-01-01,30-34,148.0
Johor,2002-01-01,35-39,87.0
Johor,2002-01-01,40-44,26.0
Johor,2002-01-01,45-49,3.0
Johor,2002-01-01,tfr,2.66
Johor,2003-01-01,15-19,12.0
Johor,2003-01-01,20-24,80.0
Johor,2003-01-01,25-29,167.0
Johor,2003-01-01,30-34,142.0
Johor,2003-01-01,35-39,82.0
Johor,2003-01-01,40-44,25.0
Johor,2003-01-01,45-49,3.0
Johor,2003-01-01,tfr,2.55
Johor,2004-01-01,15-19,11.0
Johor,2004-01-01,20-24,76.0
Johor,2004-01-01,25-29,161.0
Johor,2004-01-01,30-34,139.0
Johor,2004-01-01,35-39,79.0
Johor,2004-01-01,40-44,24.0
Johor,2004-01-01,45-49,2.0
Johor,2004-01-01,tfr,2.47
Johor,2005-01-01,15-19,11.0
Johor,2005-01-01,20-24,72.0
Johor,2005-01-01,25-29,156.0
Johor,2005-01-01,30-34,139.0
Johor,2005-01-01,35-39,76.0
Johor,2005-01-01,40-44,22.0
Johor,2005-01-01,45-49,2.0
Johor,2005-01-01,tfr,2.39
Johor,2006-01-01,15-19,11.0
Johor,2006-01-01,20-24,70.0
Johor,2006-01-01,25-29,155.0
Johor,2006-01-01,30-34,137.0
Johor,2006-01-01,35-39,74.0
Johor,2006-01-01,40-44,22.0
Johor,2006-01-01,45-49,2.0
Johor,2006-01-01,tfr,2.36
Johor,2007-01-01,15-19,11.0
Johor,2007-01-01,20-24,68.0
Johor,2007-01-01,25-29,155.0
Johor,2007-01-01,30-34,139.0
Johor,2007-01-01,35-39,73.0
Johor,2007-01-01,40-44,22.0
Johor,2007-01-01,45-49,2.0
Johor,2007-01-01,tfr,2.35
Johor,2008-01-01,15-19,12.0
Johor,2008-01-01,20-24,66.0
Johor,2008-01-01,25-29,148.0
