state,date,sex,abs,rate
Johor,2017-01-01,female,27308,27.59
Johor,2017-01-01,male,27626,25.82
Johor,2018-01-01,female,26806,26.7
Johor,2018-01-01,male,27153,25.2
Johor,2019-01-01,female,26574,26.4
Johor,2019-01-01,male,26872,25.1
Johor,2020-01-01,female,22917,22.7
Johor,2020-01-01,male,22865,21.5
Johor,2021-01-01,female,24936,24.2
Johor,2021-01-01,male,24384,22.9
Johor,2022-01-01,female,26539,25.8
Johor,2022-01-01,male,26166,21.1
Kedah,2017-01-01,female,13612,23.08
Kedah,2017-01-01,male,12577,20.83
Kedah,2018-01-01,female,16123,27.2
Kedah,2018-01-01,male,14257,23.5
Kedah,2019-01-01,female,16420,27.7
Kedah,2019-01-01,male,14384,23.8
Kedah,2020-01-01,female,16809,28.4
Kedah,2020-01-01,male,14661,24.4
Kedah,2021-01-01,female,18790,32.2
Kedah,2021-01-01,male,15958,25.6
Kedah,2022-01-01,female,18584,31.7
Kedah,2022-01-01,male,15768,25.4
Kelantan,2017-01-01,female,17300,32.2
Kelantan,2017-01-01,male,14974,26.61
Kelantan,2018-01-01,female,16768,30.9
Kelantan,2018-01-01,male,14700,25.8
Kelantan,2019-01-01,female,16765,30.8
Kelantan,2019-01-01,male,14530,25.4
Kelantan,2020-01-01,female,16134,29.5
Kelantan,2020-01-01,male,13984,24.3
Kelantan,2021-01-01,female,19912,35.4
Kelantan,2021-01-01,male,22347,38.8
Kelantan,2022-01-01,female,18297,32.3
Kelantan,2022-01-01,male,20558,35.4
Melaka,2017-01-01,female,6742,27.29
Melaka,2017-01-01,male,6769,27.22
Melaka,2018-01-01,female,6840,27.6
Melaka,2018-01-01,male,6971,28.0
Melaka,2019-01-01,female,6867,27.7
Melaka,2019-01-01,male,6826,27.5
Melaka,2020-01-01,female,6340,25.6
Melaka,2020-01-01,male,6340,25.8
Melaka,2021-01-01,female,7413,27.9
Melaka,2021-01-01,male,7287,25.0
Melaka,2022-01-01,female,6920,26.1
Melaka,2022-01-01,male,6912,23.7
Negeri Sembilan,2017-01-01,female,8752,30.02
Negeri Sembilan,2017-01-01,male,9022,28.52
Negeri Sembilan,2018-01-01,female,8609,29.4
Negeri Sembilan,2018-01-01,male,8807,27.9
Negeri Sembilan,2019-01-01,female,8506,29.0
