date,state,parlimen,dun,sex,age,ethnicity,population
2020-01-01,Perlis,P.001 Padang Besar,N.01 Titi Tinggi,both,overall,overall,18.7
2020-01-01,Perlis,P.001 Padang Besar,N.01 Titi Tinggi,both,overall,citizen,18.2
2020-01-01,Perlis,P.001 Padang Besar,N.01 Titi Tinggi,both,overall,noncitizen,0.5
2020-01-01,Perlis,P.001 Padang Besar,N.01 Titi Tinggi,female,overall,overall,8.8
2020-01-01,Perlis,P.001 Padang Besar,N.01 Titi Tinggi,male,overall,overall,9.9
2021-01-01,Perlis,P.001 Padang Besar,N.01 Titi Tinggi,both,overall,overall,18.9
2021-01-01,Perlis,P.001 Padang Besar,N.01 Titi Tinggi,both,citizen,overall,18.3
2021-01-01,Perlis,P.001 Padang Besar,N.01 Titi Tinggi,both,noncitizen,overall,0.6
2021-01-01,Perlis,P.001 Padang Besar,N.01 Titi Tinggi,female,overall,overall,8.9
2021-01-01,Perlis,P.001 Padang Besar,N.01 Titi Tinggi,male,overall,overall,10.0
2022-01-01,Perlis,P.001 Padang Besar,N.01 Titi Tinggi,both,overall,overall,19.0
2022-01-01,Perlis,P.001 Padang Besar,N.01 Titi Tinggi,both,citizen,overall,18.4
2022-01-01,Perlis,P.001 Padang Besar,N.01 Titi Tinggi,both,noncitizen,overall,0.6
2022-01-01,Perlis,P.001 Padang Besar,N.01 Titi Tinggi,female,overall,overall,9.0
2022-01-01,Perlis,P.001 Padang Besar,N.01 Titi Tinggi,male,overall,overall,10.0
2023-01-01,Perlis,P.001 Padang Besar,N.01 Titi Tinggi,both,overall,overall,19.2
2023-01-01,Perlis,P.001 Padang Besar,N.01 Titi Tinggi,both,citizen,overall,18.5
2023-01-01,Perlis,P.001 Padang Besar,N.01 Titi Tinggi,both,noncitizen,overall,0.8
2023-01-01,Perlis,P.001 Padang Besar,N.01 Titi Tinggi,female,overall,overall,9.1
2023-01-01,Perlis,P.001 Padang Besar,N.01 Titi Tinggi,male,overall,overall,10.1
2024-01-01,Perlis,P.001 Padang Besar,N.01 Titi Tinggi,both,overall,overall,19.5
2024-01-01,Perlis,P.001 Padang Besar,N.01 Titi Tinggi,both,citizen,overall,18.5
2024-01-01,Perlis,P.001 Padang Besar,N.01 Titi Tinggi,both,noncitizen,overall,0.9
2024-01-01,Perlis,P.001 Padang Besar,N.01 Titi Tinggi,female,overall,overall,9.2
2024-01-01,Perlis,P.001 Padang Besar,N.01 Titi Tinggi,male,overall,overall,10.3
2020-01-01,Perlis,P.001 Padang Besar,N.02 Beseri,both,overall,overall,18.1
2020-01-01,Perlis,P.001 Padang Besar,N.02 Beseri,both,overall,citizen,17.1
2020-01-01,Perlis,P.001 Padang Besar,N.02 Beseri,both,overall,noncitizen,1.1
2020-01-01,Perlis,P.001 Padang Besar,N.02 Beseri,female,overall,overall,9.0
2020-01-01,Perlis,P.001 Padang Besar,N.02 Beseri,male,overall,overall,9.1
2021-01-01,Perlis,P.001 Padang Besar,N.02 Beseri,both,overall,overall,18.3
2021-01-01,Perlis,P.001 Padang Besar,N.02 Beseri,both,citizen,overall,17.1
2021-01-01,Perlis,P.001 Padang Besar,N.02 Beseri,both,noncitizen,overall,1.2
2021-01-01,Perlis,P.001 Padang Besar,N.02 Beseri,female,overall,overall,9.1
2021-01-01,Perlis,P.001 Padang Besar,N.02 Beseri,male,overall,overall,9.2
2022-01-01,Perlis,P.001 Padang Besar,N.02 Beseri,both,overall,overall,18.4
2022-01-01,Perlis,P.001 Padang Besar,N.02 Beseri,both,citizen,overall,17.1
2022-01-01,Perlis,P.001 Padang Besar,N.02 Beseri,both,noncitizen,overall,1.3
2022-01-01,Perlis,P.001 Padang Besar,N.02 Beseri,female,overall,overall,9.2
2022-01-01,Perlis,P.001 Padang Besar,N.02 Beseri,male,overall,overall,9.2
2023-01-01,Perlis,P.001 Padang Besar,N.02 Beseri,both,overall,overall,18.6
2023-01-01,Perlis,P.001 Padang Besar,N.02 Beseri,both,citizen,overall,17.1
2023-01-01,Perlis,P.001 Padang Besar,N.02 Beseri,both,noncitizen,overall,1.5
2023-01-01,Perlis,P.001 Padang Besar,N.02 Beseri,female,overall,overall,9.3
2023-01-01,Perlis,P.001 Padang Besar,N.02 Beseri,male,overall,overall,9.3
2024-01-01,Perlis,P.001 Padang Besar,N.02 Beseri,both,overall,overall,18.9
2024-01-01,Perlis,P.001 Padang Besar,N.02 Beseri,both,citizen,overall,17.1
2024-01-01,Perlis,P.001 Padang Besar,N.02 Beseri,both,noncitizen,overall,1.8
2024-01-01,Perlis,P.001 Padang Besar,N.02 Beseri,female,overall,overall,9.4
2024-01-01,Perlis,P.001 Padang Besar,N.02 Beseri,male,overall,overall,9.5
2020-01-01,Perlis,P.001 Padang Besar,N.03 Chuping,both,overall,overall,24.2
2020-01-01,Perlis,P.001 Padang Besar,N.03 Chuping,both,overall,citizen,23.4
2020-01-01,Perlis,P.001 Padang Besar,N.03 Chuping,both,overall,noncitizen,0.8
2020-01-01,Perlis,P.001 Padang Besar,N.03 Chuping,female,overall,overall,11.6
2020-01-01,Perlis,P.001 Padang Besar,N.03 Chuping,male,overall,overall,12.6
2021-01-01,Perlis,P.001 Padang Besar,N.03 Chuping,both,overall,overall,24.5
2021-01-01,Perlis,P.001 Padang Besar,N.03 Chuping,both,citizen,overall,23.5
2021-01-01,Perlis,P.001 Padang Besar,N.03 Chuping,both,noncitizen,overall,1.0
2021-01-01,Perlis,P.001 Padang Besar,N.03 Chuping,female,overall,overall,11.7
2021-01-01,Perlis,P.001 Padang Besar,N.03 Chuping,male,overall,overall,12.7
2022-01-01,Perlis,P.001 Padang Besar,N.03 Chuping,both,overall,overall,24.7
2022-01-01,Perlis,P.001 Padang Besar,N.03 Chuping,both,citizen,overall,23.7
2022-01-01,Perlis,P.001 Padang Besar,N.03 Chuping,both,noncitizen,overall,1.0
2022-01-01,Perlis,P.001 Padang Besar,N.03 Chuping,female,overall,overall,11.8
2022-01-01,Perlis,P.001 Padang Besar,N.03 Chuping,male,overall,overall,12.8
2023-01-01,Perlis,P.001 Padang Besar,N.03 Chuping,both,overall,overall,24.9
2023-01-01,Perlis,P.001 Padang Besar,N.03 Chuping,both,citizen,overall,23.7
2023-01-01,Perlis,P.001 Padang Besar,N.03 Chuping,both,noncitizen,overall,1.2
2023-01-01,Perlis,P.001 Padang Besar,N.03 Chuping,female,overall,overall,12.0
2023-01-01,Perlis,P.001 Padang Besar,N.03 Chuping,male,overall,overall,13.0
2024-01-01,Perlis,P.001 Padang Besar,N.03 Chuping,both,overall,overall,25.2
2024-01-01,Perlis,P.001 Padang Besar,N.03 Chuping,both,citizen,overall,23.7
2024-01-01,Perlis,P.001 Padang Besar,N.03 Chuping,both,noncitizen,overall,1.6
2024-01-01,Perlis,P.001 Padang Besar,N.03 Chuping,female,overall,overall,12.1
2024-01-01,Perlis,P.001 Padang Besar,N.03 Chuping,male,overall,overall,13.1
2020-01-01,Perlis,P.001 Padang Besar,N.04 Mata Ayer,both,overall,overall,11.9
2020-01-01,Perlis,P.001 Padang Besar,N.04 Mata Ayer,both,overall,citizen,11.8
2020-01-01,Perlis,P.001 Padang Besar,N.04 Mata Ayer,both,overall,noncitizen,0.1
2020-01-01,Perlis,P.001 Padang Besar,N.04 Mata Ayer,female,overall,overall,5.9
2020-01-01,Perlis,P.001 Padang Besar,N.04 Mata Ayer,male,overall,overall,6.0
2021-01-01,Perlis,P.001 Padang Besar,N.04 Mata Ayer,both,overall,overall,12.0
2021-01-01,Perlis,P.001 Padang Besar,N.04 Mata Ayer,both,citizen,overall,11.9
2021-01-01,Perlis,P.001 Padang Besar,N.04 Mata Ayer,both,noncitizen,overall,0.1
