date,state,parlimen,sex,age,ethnicity,population
2020-01-01,Perlis,P.001 Padang Besar,both,overall,overall,86.8
2020-01-01,Perlis,P.001 Padang Besar,both,overall,citizen,84.1
2020-01-01,Perlis,P.001 Padang Besar,both,overall,noncitizen,2.7
2020-01-01,Perlis,P.001 Padang Besar,female,overall,overall,42.3
2020-01-01,Perlis,P.001 Padang Besar,male,overall,overall,44.5
2021-01-01,Perlis,P.001 Padang Besar,both,citizen,overall,84.5
2021-01-01,Perlis,P.001 Padang Besar,both,noncitizen,overall,3.1
2021-01-01,Perlis,P.001 Padang Besar,both,overall,overall,87.7
2021-01-01,Perlis,P.001 Padang Besar,female,overall,overall,42.6
2021-01-01,Perlis,P.001 Padang Besar,male,overall,overall,44.9
2022-01-01,Perlis,P.001 Padang Besar,both,citizen,overall,85.0
2022-01-01,Perlis,P.001 Padang Besar,both,noncitizen,overall,3.3
2022-01-01,Perlis,P.001 Padang Besar,both,overall,overall,88.3
2022-01-01,Perlis,P.001 Padang Besar,female,overall,overall,43.1
2022-01-01,Perlis,P.001 Padang Besar,male,overall,overall,45.1
2023-01-01,Perlis,P.001 Padang Besar,both,citizen,overall,85.3
2023-01-01,Perlis,P.001 Padang Besar,both,noncitizen,overall,3.9
2023-01-01,Perlis,P.001 Padang Besar,both,overall,overall,89.1
2023-01-01,Perlis,P.001 Padang Besar,female,overall,overall,43.6
2023-01-01,Perlis,P.001 Padang Besar,male,overall,overall,45.7
2024-01-01,Perlis,P.001 Padang Besar,both,citizen,overall,85.5
2024-01-01,Perlis,P.001 Padang Besar,both,noncitizen,overall,4.9
2024-01-01,Perlis,P.001 Padang Besar,both,overall,overall,90.4
2024-01-01,Perlis,P.001 Padang Besar,female,overall,overall,44.1
2024-01-01,Perlis,P.001 Padang Besar,male,overall,overall,46.4
2020-01-01,Perlis,P.002 Kangar,both,overall,overall,100.8
2020-01-01,Perlis,P.002 Kangar,both,overall,citizen,98.5
2020-01-01,Perlis,P.002 Kangar,both,overall,noncitizen,2.3
2020-01-01,Perlis,P.002 Kangar,female,overall,overall,50.9
2020-01-01,Perlis,P.002 Kangar,male,overall,overall,49.9
2021-01-01,Perlis,P.002 Kangar,both,citizen,overall,99.1
2021-01-01,Perlis,P.002 Kangar,both,noncitizen,overall,2.5
2021-01-01,Perlis,P.002 Kangar,both,overall,overall,101.8
2021-01-01,Perlis,P.002 Kangar,female,overall,overall,51.3
2021-01-01,Perlis,P.002 Kangar,male,overall,overall,50.3
2022-01-01,Perlis,P.002 Kangar,both,citizen,overall,99.6
2022-01-01,Perlis,P.002 Kangar,both,noncitizen,overall,2.9
2022-01-01,Perlis,P.002 Kangar,both,overall,overall,102.5
2022-01-01,Perlis,P.002 Kangar,female,overall,overall,51.9
2022-01-01,Perlis,P.002 Kangar,male,overall,overall,50.7
2023-01-01,Perlis,P.002 Kangar,both,citizen,overall,100.2
2023-01-01,Perlis,P.002 Kangar,both,noncitizen,overall,3.5
2023-01-01,Perlis,P.002 Kangar,both,overall,overall,103.7
2023-01-01,Perlis,P.002 Kangar,female,overall,overall,52.4
2023-01-01,Perlis,P.002 Kangar,male,overall,overall,51.3
2024-01-01,Perlis,P.002 Kangar,both,citizen,overall,100.7
2024-01-01,Perlis,P.002 Kangar,both,noncitizen,overall,4.2
2024-01-01,Perlis,P.002 Kangar,both,overall,overall,105.0
2024-01-01,Perlis,P.002 Kangar,female,overall,overall,53.1
2024-01-01,Perlis,P.002 Kangar,male,overall,overall,51.8
2020-01-01,Perlis,P.003 Arau,both,overall,overall,97.3
2020-01-01,Perlis,P.003 Arau,both,overall,citizen,95.9
2020-01-01,Perlis,P.003 Arau,both,overall,noncitizen,1.4
2020-01-01,Perlis,P.003 Arau,female,overall,overall,49.3
2020-01-01,Perlis,P.003 Arau,male,overall,overall,48.0
2021-01-01,Perlis,P.003 Arau,both,citizen,overall,96.6
2021-01-01,Perlis,P.003 Arau,both,noncitizen,overall,1.6
2021-01-01,Perlis,P.003 Arau,both,overall,overall,98.2
2021-01-01,Perlis,P.003 Arau,female,overall,overall,49.8
2021-01-01,Perlis,P.003 Arau,male,overall,overall,48.4
2022-01-01,Perlis,P.003 Arau,both,citizen,overall,97.2
2022-01-01,Perlis,P.003 Arau,both,noncitizen,overall,1.8
2022-01-01,Perlis,P.003 Arau,both,overall,overall,99.0
2022-01-01,Perlis,P.003 Arau,female,overall,overall,50.2
2022-01-01,Perlis,P.003 Arau,male,overall,overall,48.7
2023-01-01,Perlis,P.003 Arau,both,citizen,overall,97.8
2023-01-01,Perlis,P.003 Arau,both,noncitizen,overall,2.3
2023-01-01,Perlis,P.003 Arau,both,overall,overall,100.1
2023-01-01,Perlis,P.003 Arau,female,overall,overall,50.9
2023-01-01,Perlis,P.003 Arau,male,overall,overall,49.3
2024-01-01,Perlis,P.003 Arau,both,citizen,overall,98.5
2024-01-01,Perlis,P.003 Arau,both,noncitizen,overall,2.9
2024-01-01,Perlis,P.003 Arau,both,overall,overall,101.5
2024-01-01,Perlis,P.003 Arau,female,overall,overall,51.6
2024-01-01,Perlis,P.003 Arau,male,overall,overall,49.8
