date,basins_monitored,measure,status,n_basins,proportion
2000-01-01,120,bod5,clean,39,32.5
2000-01-01,120,bod5,slightly__polluted,63,52.5
2000-01-01,120,bod5,polluted,18,15.0
2000-01-01,120,nh3n,clean,50,41.66666666666667
2000-01-01,120,nh3n,slightly__polluted,48,40.0
2000-01-01,120,nh3n,polluted,22,18.333333333333332
2000-01-01,120,ss,clean,42,35.0
2000-01-01,120,ss,slightly__polluted,25,20.833333333333336
2000-01-01,120,ss,polluted,53,44.166666666666664
2001-01-01,120,bod5,clean,58,48.333333333333336
2001-01-01,120,bod5,slightly__polluted,41,34.166666666666664
2001-01-01,120,bod5,polluted,21,17.5
2001-01-01,120,nh3n,clean,53,44.166666666666664
2001-01-01,120,nh3n,slightly__polluted,43,35.833333333333336
2001-01-01,120,nh3n,polluted,24,20.0
2001-01-01,120,ss,clean,57,47.5
2001-01-01,120,ss,slightly__polluted,25,20.833333333333336
2001-01-01,120,ss,polluted,38,31.666666666666664
2002-01-01,120,bod5,clean,69,57.49999999999999
2002-01-01,120,bod5,slightly__polluted,29,24.166666666666668
2002-01-01,120,bod5,polluted,22,18.333333333333332
2002-01-01,120,nh3n,clean,51,42.5
2002-01-01,120,nh3n,slightly__polluted,40,33.33333333333333
2002-01-01,120,nh3n,polluted,29,24.166666666666668
2002-01-01,120,ss,clean,78,65.0
2002-01-01,120,ss,slightly__polluted,14,11.666666666666666
2002-01-01,120,ss,polluted,28,23.333333333333332
2003-01-01,120,bod5,clean,76,63.33333333333333
2003-01-01,120,bod5,slightly__polluted,29,24.166666666666668
2003-01-01,120,bod5,polluted,15,12.5
2003-01-01,120,nh3n,clean,54,45.0
2003-01-01,120,nh3n,slightly__polluted,37,30.833333333333336
2003-01-01,120,nh3n,polluted,29,24.166666666666668
2003-01-01,120,ss,clean,75,62.5
2003-01-01,120,ss,slightly__polluted,17,14.166666666666666
2003-01-01,120,ss,polluted,28,23.333333333333332
2004-01-01,120,bod5,clean,65,54.166666666666664
2004-01-01,120,bod5,slightly__polluted,37,30.833333333333336
2004-01-01,120,bod5,polluted,18,15.0
2004-01-01,120,nh3n,clean,43,35.833333333333336
2004-01-01,120,nh3n,slightly__polluted,47,39.166666666666664
2004-01-01,120,nh3n,polluted,30,25.0
2004-01-01,120,ss,clean,78,65.0
2004-01-01,120,ss,slightly__polluted,11,9.166666666666666
2004-01-01,120,ss,polluted,31,25.833333333333336
2005-01-01,146,bod5,clean,77,52.73972602739726
2005-01-01,146,bod5,slightly__polluted,41,28.08219178082192
2005-01-01,146,bod5,polluted,28,19.17808219178082
2005-01-01,146,nh3n,clean,49,33.56164383561644
2005-01-01,146,nh3n,slightly__polluted,54,36.986301369863014
2005-01-01,146,nh3n,polluted,43,29.45205479452055
2005-01-01,146,ss,clean,90,61.64383561643836
2005-01-01,146,ss,slightly__polluted,22,15.068493150684931
2005-01-01,146,ss,polluted,34,23.28767123287671
2006-01-01,146,bod5,clean,96,65.75342465753424
2006-01-01,146,bod5,slightly__polluted,28,19.17808219178082
2006-01-01,146,bod5,polluted,22,15.068493150684931
2006-01-01,146,nh3n,clean,49,33.56164383561644
2006-01-01,146,nh3n,slightly__polluted,56,38.35616438356164
2006-01-01,146,nh3n,polluted,41,28.08219178082192
2006-01-01,146,ss,clean,84,57.534246575342465
2006-01-01,146,ss,slightly__polluted,20,13.698630136986301
2006-01-01,146,ss,polluted,42,28.767123287671232
2007-01-01,143,bod5,clean,94,65.73426573426573
2007-01-01,143,bod5,slightly__polluted,37,25.874125874125873
2007-01-01,143,bod5,polluted,12,8.391608391608392
2007-01-01,143,nh3n,clean,48,33.56643356643357
2007-01-01,143,nh3n,slightly__polluted,59,41.25874125874126
2007-01-01,143,nh3n,polluted,36,25.174825174825177
2007-01-01,143,ss,clean,62,43.35664335664335
