date,state,district,sex,abs,rate
2020-01-01,Johor,Batu Pahat,both,6653,13.43226327478296
2020-01-01,Johor,Batu Pahat,female,3236,13.84681215233205
2020-01-01,Johor,Batu Pahat,male,3417,13.061926605504588
2020-01-01,Johor,Johor Bahru,both,24675,14.419705469845722
2020-01-01,Johor,Johor Bahru,female,11954,14.87000870755069
2020-01-01,Johor,Johor Bahru,male,12721,14.02072082001543
2020-01-01,Johor,Kluang,both,4274,13.19950586781964
2020-01-01,Johor,Kluang,female,2085,14.439058171745152
2020-01-01,Johor,Kluang,male,2189,12.208588957055214
2020-01-01,Johor,Kota Tinggi,both,4182,18.803956834532375
2020-01-01,Johor,Kota Tinggi,female,2025,19.471153846153847
2020-01-01,Johor,Kota Tinggi,male,2157,18.217905405405403
2020-01-01,Johor,Kulai,both,3742,11.35660091047041
2020-01-01,Johor,Kulai,female,1792,11.805006587615283
2020-01-01,Johor,Kulai,male,1950,10.973550928531234
2020-01-01,Johor,Mersing,both,1431,18.29923273657289
2020-01-01,Johor,Mersing,female,702,19.338842975206617
2020-01-01,Johor,Mersing,male,729,17.39856801909308
2020-01-01,Johor,Muar,both,3943,12.525412960609913
2020-01-01,Johor,Muar,female,1915,13.53356890459364
2020-01-01,Johor,Muar,male,2028,11.702250432775532
2020-01-01,Johor,Pontian,both,2857,16.485862665897287
2020-01-01,Johor,Pontian,female,1360,16.97877652933833
2020-01-01,Johor,Pontian,male,1497,16.06223175965665
2020-01-01,Johor,Segamat,both,3030,15.31850353892821
2020-01-01,Johor,Segamat,female,1439,15.21141649048626
2020-01-01,Johor,Segamat,male,1591,15.416666666666666
2020-01-01,Johor,Tangkak,both,2033,12.441860465116278
2020-01-01,Johor,Tangkak,female,978,12.506393861892583
2020-01-01,Johor,Tangkak,male,1055,12.38262910798122
2021-01-01,Johor,Batu Pahat,both,6139,12.347144006436045
2021-01-01,Johor,Batu Pahat,female,2960,12.585034013605442
2021-01-01,Johor,Batu Pahat,male,3179,12.13358778625954
2021-01-01,Johor,Johor Bahru,both,20409,11.897516614200768
2021-01-01,Johor,Johor Bahru,female,9913,12.24129414670289
2021-01-01,Johor,Johor Bahru,male,10496,11.590106007067137
2021-01-01,Johor,Kluang,both,3804,11.693821088226253
2021-01-01,Johor,Kluang,female,1846,12.678571428571429
2021-01-01,Johor,Kluang,male,1958,10.895937673900947
2021-01-01,Johor,Kota Tinggi,both,3810,17.039355992844364
2021-01-01,Johor,Kota Tinggi,female,1887,17.95432921027593
2021-01-01,Johor,Kota Tinggi,male,1923,16.227848101265824
2021-01-01,Johor,Kulai,both,3670,11.182205971968312
2021-01-01,Johor,Kulai,female,1743,11.467105263157896
2021-01-01,Johor,Kulai,male,1927,10.936435868331442
2021-01-01,Johor,Mersing,both,1324,16.802030456852794
2021-01-01,Johor,Mersing,female,647,17.62942779291553
2021-01-01,Johor,Mersing,male,677,16.080760095011875
2021-01-01,Johor,Muar,both,3751,11.8777707409753
2021-01-01,Johor,Muar,female,1803,12.670414617006324
2021-01-01,Johor,Muar,male,1948,11.227665706051871
2021-01-01,Johor,Pontian,both,2413,13.851894374282434
2021-01-01,Johor,Pontian,female,1198,14.863523573200991
2021-01-01,Johor,Pontian,male,1215,12.980769230769232
2021-01-01,Johor,Segamat,both,2620,13.2725430597771
2021-01-01,Johor,Segamat,female,1294,13.621052631578948
2021-01-01,Johor,Segamat,male,1326,12.94921875
2021-01-01,Johor,Tangkak,both,2050,12.5
2021-01-01,Johor,Tangkak,female,991,12.576142131979696
2021-01-01,Johor,Tangkak,male,1059,12.429577464788732
2022-01-01,Johor,Batu Pahat,both,5884,11.82713567839196
2022-01-01,Johor,Batu Pahat,female,2812,11.915254237288137
2022-01-01,Johor,Batu Pahat,male,3072,11.747609942638624
2022-01-01,Johor,Johor Bahru,both,20176,11.705053083483204
2022-01-01,Johor,Johor Bahru,female,9938,12.207345534946567
2022-01-01,Johor,Johor Bahru,male,10238,11.255496921723834
2022-01-01,Johor,Kluang,both,3508,10.843894899536322
2022-01-01,Johor,Kluang,female,1726,11.821917808219178
2022-01-01,Johor,Kluang,male,1782,10.03943661971831
2022-01-01,Johor,Kota Tinggi,both,3542,15.749221876389504
2022-01-01,Johor,Kota Tinggi,female,1716,16.18867924528302
2022-01-01,Johor,Kota Tinggi,male,1826,15.357443229604709
2022-01-01,Johor,Kulai,both,3510,10.66221142162819
2022-01-01,Johor,Kulai,female,1681,11.008513425016371
2022-01-01,Johor,Kulai,male,1829,10.362606232294617
2022-01-01,Johor,Mersing,both,1194,15.094816687737042
2022-01-01,Johor,Mersing,female,581,15.745257452574526
2022-01-01,Johor,Mersing,male,613,14.560570071258908
2022-01-01,Johor,Muar,both,3634,11.573248407643312
2022-01-01,Johor,Muar,female,1715,12.009803921568626
2022-01-01,Johor,Muar,male,1919,11.20911214953271
2022-01-01,Johor,Pontian,both,2354,13.559907834101384
2022-01-01,Johor,Pontian,female,1167,14.425216316440048
2022-01-01,Johor,Pontian,male,1187,12.80474649406688
2022-01-01,Johor,Segamat,both,2513,12.679112008072655
2022-01-01,Johor,Segamat,female,1223,12.81970649895178
2022-01-01,Johor,Segamat,male,1290,12.54863813229572
2022-01-01,Johor,Tangkak,both,1939,11.78007290400972
2022-01-01,Johor,Tangkak,female,930,11.757269279393174
2022-01-01,Johor,Tangkak,male,1009,11.801169590643276
2023-01-01,Johor,Batu Pahat,both,6376,12.65079365079365
2023-01-01,Johor,Batu Pahat,female,3000,12.605042016806722
2023-01-01,Johor,Batu Pahat,male,3376,12.691729323308271
2023-01-01,Johor,Johor Bahru,both,25017,14.201294277929156
2023-01-01,Johor,Johor Bahru,female,12054,14.58086367485182
2023-01-01,Johor,Johor Bahru,male,12963,13.865654080650335
2023-01-01,Johor,Kluang,both,4260,12.96014602981442
2023-01-01,Johor,Kluang,female,2070,14.05295315682281
2023-01-01,Johor,Kluang,male,2190,12.07276736493936
2023-01-01,Johor,Kota Tinggi,both,3987,17.387701700828607
2023-01-01,Johor,Kota Tinggi,female,1896,17.6536312849162
2023-01-01,Johor,Kota Tinggi,male,2091,17.15340442986054
2023-01-01,Johor,Kulai,both,4156,12.212753452835733
2023-01-01,Johor,Kulai,female,2026,12.93742017879949
2023-01-01,Johor,Kulai,male,2130,11.594991834512792
2023-01-01,Johor,Mersing,both,1182,14.756554307116106
2023-01-01,Johor,Mersing,female,564,15.12064343163539
2023-01-01,Johor,Mersing,male,618,14.4392523364486
2023-01-01,Johor,Muar,both,3834,12.030122372136804
2023-01-01,Johor,Muar,female,1849,12.867084203201117
2023-01-01,Johor,Muar,male,1985,11.342857142857143
2023-01-01,Johor,Pontian,both,2719,15.466439135381114
2023-01-01,Johor,Pontian,female,1313,16.090686274509807
2023-01-01,Johor,Pontian,male,1406,14.92569002123142
2023-01-01,Johor,Segamat,both,2566,12.728174603174605
2023-01-01,Johor,Segamat,female,1297,13.46832814122534
2023-01-01,Johor,Segamat,male,1269,12.039848197343453
2023-01-01,Johor,Tangkak,both,2059,12.32196289646918
2023-01-01,Johor,Tangkak,female,1012,12.665832290362951
2023-01-01,Johor,Tangkak,male,1047,12.006880733944952
2024-01-01,Johor,Batu Pahat,both,5763,11.3
2024-01-01,Johor,Batu Pahat,female,2738,11.4
2024-01-01,Johor,Batu Pahat,male,3025,11.2
2024-01-01,Johor,Johor Bahru,both,23018,12.8
2024-01-01,Johor,Johor Bahru,female,11071,13.2
2024-01-01,Johor,Johor Bahru,male,11947,12.4
