state,date,abs,rate
Johor,2000-01-01,67183,24.3
Johor,2001-01-01,61432,21.7
Johor,2002-01-01,59699,20.6
Johor,2003-01-01,58230,19.7
Johor,2004-01-01,57339,19.0
Johor,2005-01-01,56524,18.4
Johor,2006-01-01,56737,18.1
Johor,2007-01-01,57780,18.1
Johor,2008-01-01,57838,17.8
Johor,2009-01-01,57849,17.5
Johor,2010-01-01,56064,16.7
Johor,2011-01-01,58167,17.1
Johor,2012-01-01,60444,17.5
Johor,2013-01-01,57402,16.5
Johor,2014-01-01,60443,17.0
Johor,2015-01-01,60543,16.8
Johor,2016-01-01,59561,16.3
Johor,2017-01-01,61085,16.5
Johor,2018-01-01,61084,16.3
Johor,2019-01-01,60261,16.0
Johor,2020-01-01,56908,14.2
Johor,2021-01-01,49990,12.4
Johor,2022-01-01,48254,12.0
Johor,2023-01-01,56156,13.7
Johor,2024-01-01,51011,12.2
Kedah,2000-01-01,41014,24.5
Kedah,2001-01-01,38073,22.3
Kedah,2002-01-01,36604,21.1
Kedah,2003-01-01,35407,20.1
Kedah,2004-01-01,35059,19.6
Kedah,2005-01-01,34254,18.8
Kedah,2006-01-01,33864,18.3
Kedah,2007-01-01,33963,18.1
Kedah,2008-01-01,35415,18.6
Kedah,2009-01-01,36019,18.7
Kedah,2010-01-01,35128,18.0
Kedah,2011-01-01,35937,18.2
Kedah,2012-01-01,36390,18.2
Kedah,2013-01-01,35032,17.2
Kedah,2014-01-01,36505,17.7
Kedah,2015-01-01,36784,17.5
Kedah,2016-01-01,35967,17.0
Kedah,2017-01-01,36693,17.1
Kedah,2018-01-01,35643,16.5
Kedah,2019-01-01,34511,15.9
Kedah,2020-01-01,33828,15.9
Kedah,2021-01-01,33040,15.4
Kedah,2022-01-01,30796,14.2
Kedah,2023-01-01,33811,15.4
Kedah,2024-01-01,30622,13.8
Kelantan,2000-01-01,40404,29.7
Kelantan,2001-01-01,38186,27.5
Kelantan,2002-01-01,37297,26.3
Kelantan,2003-01-01,35686,24.8
Kelantan,2004-01-01,35113,24.0
Kelantan,2005-01-01,34088,22.9
Kelantan,2006-01-01,33659,22.3
Kelantan,2007-01-01,33800,22.1
Kelantan,2008-01-01,34842,22.5
Kelantan,2009-01-01,35715,22.7
Kelantan,2010-01-01,36009,22.6
Kelantan,2011-01-01,37679,23.3
Kelantan,2012-01-01,37025,22.4
Kelantan,2013-01-01,36413,21.6
Kelantan,2014-01-01,39279,22.8
Kelantan,2015-01-01,39108,22.2
Kelantan,2016-01-01,38455,21.4
Kelantan,2017-01-01,39122,21.4
Kelantan,2018-01-01,38360,20.6
Kelantan,2019-01-01,36858,19.6
Kelantan,2020-01-01,36275,20.2
Kelantan,2021-01-01,34764,19.2
Kelantan,2022-01-01,33808,18.5
Kelantan,2023-01-01,35705,19.2
Kelantan,2024-01-01,31861,16.9
Melaka,2000-01-01,15304,23.7
Melaka,2001-01-01,14317,21.5
Melaka,2002-01-01,13810,20.2
