date,state,district,sex,abs,rate
2020-01-01,Johor,Batu Pahat,both,3021.0,6.099333737129013
2020-01-01,Johor,Batu Pahat,female,1343.0,5.7466837826273
2020-01-01,Johor,Batu Pahat,male,1678.0,6.414373088685014
2020-01-01,Johor,Johor Bahru,both,6609.0,3.862201963534362
2020-01-01,Johor,Johor Bahru,female,2621.0,3.260355765642493
2020-01-01,Johor,Johor Bahru,male,3988.0,4.395459054337044
2020-01-01,Johor,Kluang,both,2060.0,6.361951822112415
2020-01-01,Johor,Kluang,female,817.0,5.657894736842105
2020-01-01,Johor,Kluang,male,1243.0,6.932515337423313
2020-01-01,Johor,Kota Tinggi,both,1503.0,6.758093525179856
2020-01-01,Johor,Kota Tinggi,female,583.0,5.605769230769231
2020-01-01,Johor,Kota Tinggi,male,920.0,7.77027027027027
2020-01-01,Johor,Kulai,both,1243.0,3.7723823975720783
2020-01-01,Johor,Kulai,female,475.0,3.129117259552042
2020-01-01,Johor,Kulai,male,768.0,4.321890827236916
2020-01-01,Johor,Mersing,both,525.0,6.713554987212276
2020-01-01,Johor,Mersing,female,203.0,5.592286501377411
2020-01-01,Johor,Mersing,male,322.0,7.684964200477327
2020-01-01,Johor,Muar,both,1848.0,5.870393900889454
2020-01-01,Johor,Muar,female,779.0,5.5053003533568905
2020-01-01,Johor,Muar,male,1069.0,6.168493941142527
2020-01-01,Johor,Pontian,both,1241.0,7.160992498557414
2020-01-01,Johor,Pontian,female,545.0,6.803995006242197
2020-01-01,Johor,Pontian,male,696.0,7.467811158798283
2020-01-01,Johor,Segamat,both,1567.0,7.922143579373103
2020-01-01,Johor,Segamat,female,689.0,7.283298097251586
2020-01-01,Johor,Segamat,male,878.0,8.507751937984496
2020-01-01,Johor,Tangkak,both,998.0,6.1077111383108935
2020-01-01,Johor,Tangkak,female,388.0,4.961636828644501
2020-01-01,Johor,Tangkak,male,610.0,7.15962441314554
2021-01-01,Johor,Batu Pahat,both,3480.0,6.999195494770716
2021-01-01,Johor,Batu Pahat,female,1524.0,6.479591836734694
2021-01-01,Johor,Batu Pahat,male,1956.0,7.465648854961832
2021-01-01,Johor,Johor Bahru,both,9471.0,5.521161245190626
2021-01-01,Johor,Johor Bahru,female,3936.0,4.8604593726846135
2021-01-01,Johor,Johor Bahru,male,5535.0,6.11196996466431
2021-01-01,Johor,Kluang,both,2456.0,7.549953888718106
2021-01-01,Johor,Kluang,female,977.0,6.710164835164836
2021-01-01,Johor,Kluang,male,1479.0,8.230383973288815
2021-01-01,Johor,Kota Tinggi,both,2024.0,9.051878354203936
2021-01-01,Johor,Kota Tinggi,female,876.0,8.334919124643198
2021-01-01,Johor,Kota Tinggi,male,1148.0,9.68776371308017
2021-01-01,Johor,Kulai,both,1838.0,5.600243753808654
2021-01-01,Johor,Kulai,female,780.0,5.131578947368421
2021-01-01,Johor,Kulai,male,1058.0,6.004540295119183
2021-01-01,Johor,Mersing,both,650.0,8.248730964467006
2021-01-01,Johor,Mersing,female,262.0,7.138964577656675
2021-01-01,Johor,Mersing,male,388.0,9.216152019002376
2021-01-01,Johor,Muar,both,2327.0,7.368587713742875
2021-01-01,Johor,Muar,female,1023.0,7.1890372452564995
2021-01-01,Johor,Muar,male,1304.0,7.515850144092219
2021-01-01,Johor,Pontian,both,1533.0,8.800229621125144
2021-01-01,Johor,Pontian,female,658.0,8.163771712158809
2021-01-01,Johor,Pontian,male,875.0,9.3482905982906
2021-01-01,Johor,Segamat,both,1852.0,9.381965552178318
2021-01-01,Johor,Segamat,female,777.0,8.178947368421053
2021-01-01,Johor,Segamat,male,1075.0,10.498046875
2021-01-01,Johor,Tangkak,both,1320.0,8.048780487804878
2021-01-01,Johor,Tangkak,female,589.0,7.474619289340102
2021-01-01,Johor,Tangkak,male,731.0,8.57981220657277
2022-01-01,Johor,Batu Pahat,both,3764.0,7.565829145728643
2022-01-01,Johor,Batu Pahat,female,1612.0,6.830508474576271
2022-01-01,Johor,Batu Pahat,male,2152.0,8.22944550669216
2022-01-01,Johor,Johor Bahru,both,7980.0,4.6295759122817195
2022-01-01,Johor,Johor Bahru,female,3285.0,4.035130819309667
2022-01-01,Johor,Johor Bahru,male,4695.0,5.161609498680739
2022-01-01,Johor,Kluang,both,2412.0,7.455950540958269
2022-01-01,Johor,Kluang,female,1032.0,7.068493150684931
2022-01-01,Johor,Kluang,male,1380.0,7.774647887323944
2022-01-01,Johor,Kota Tinggi,both,1922.0,8.546020453534904
2022-01-01,Johor,Kota Tinggi,female,810.0,7.641509433962264
2022-01-01,Johor,Kota Tinggi,male,1112.0,9.352396972245584
2022-01-01,Johor,Kulai,both,1611.0,4.893681652490887
2022-01-01,Johor,Kulai,female,633.0,4.145383104125737
2022-01-01,Johor,Kulai,male,978.0,5.541076487252124
2022-01-01,Johor,Mersing,both,699.0,8.83691529709229
2022-01-01,Johor,Mersing,female,319.0,8.644986449864499
2022-01-01,Johor,Mersing,male,380.0,9.026128266033254
2022-01-01,Johor,Muar,both,2258.0,7.191082802547771
2022-01-01,Johor,Muar,female,990.0,6.932773109243697
2022-01-01,Johor,Muar,male,1268.0,7.406542056074767
2022-01-01,Johor,Pontian,both,1528.0,8.80184331797235
