state,date,abs,rate
Johor,2000-01-01,13,19.4
Johor,2001-01-01,9,14.7
Johor,2002-01-01,12,20.1
Johor,2003-01-01,11,18.9
Johor,2004-01-01,14,24.4
Johor,2005-01-01,10,17.7
Johor,2006-01-01,19,33.5
Johor,2007-01-01,29,50.2
Johor,2008-01-01,10,17.3
Johor,2009-01-01,19,32.8
Johor,2010-01-01,12,21.4
Johor,2011-01-01,17,29.2
Johor,2012-01-01,16,26.5
Johor,2013-01-01,12,20.9
Johor,2014-01-01,16,26.5
Johor,2015-01-01,14,23.1
Johor,2016-01-01,16,26.9
Johor,2017-01-01,15,24.6
Johor,2018-01-01,17,27.8
Johor,2019-01-01,12,19.9
Johor,2020-01-01,11,19.3
Johor,2021-01-01,32,64.0
Johor,2022-01-01,11,22.8
Johor,2023-01-01,20,35.6
Johor,2024-01-01,17,33.3
Kedah,2000-01-01,10,24.4
Kedah,2001-01-01,13,34.1
Kedah,2002-01-01,13,35.5
Kedah,2003-01-01,8,22.6
Kedah,2004-01-01,16,45.6
Kedah,2005-01-01,12,35.0
Kedah,2006-01-01,5,14.8
Kedah,2007-01-01,11,32.4
Kedah,2008-01-01,13,36.7
Kedah,2009-01-01,10,27.8
Kedah,2010-01-01,15,42.7
Kedah,2011-01-01,9,25.0
Kedah,2012-01-01,7,19.2
Kedah,2013-01-01,4,11.4
Kedah,2014-01-01,10,27.4
Kedah,2015-01-01,13,35.3
Kedah,2016-01-01,5,13.9
Kedah,2017-01-01,10,27.3
Kedah,2018-01-01,9,25.3
Kedah,2019-01-01,6,17.4
Kedah,2020-01-01,1,3.0
Kedah,2021-01-01,27,81.7
Kedah,2022-01-01,11,35.7
Kedah,2023-01-01,13,38.4
Kedah,2024-01-01,5,16.3
Kelantan,2000-01-01,9,22.3
Kelantan,2001-01-01,8,21.0
Kelantan,2002-01-01,12,32.2
Kelantan,2003-01-01,12,33.6
Kelantan,2004-01-01,15,42.7
Kelantan,2005-01-01,11,32.3
Kelantan,2006-01-01,10,29.7
