state,date,sex,ethnicity,abs
Johor,2000-01-01,both,bumi_malay,6745.0
Johor,2000-01-01,female,bumi_malay,2760.0
Johor,2000-01-01,male,bumi_malay,3985.0
Johor,2000-01-01,both,bumi_other,44.0
Johor,2000-01-01,female,bumi_other,20.0
Johor,2000-01-01,male,bumi_other,24.0
Johor,2000-01-01,both,chinese,4125.0
Johor,2000-01-01,female,chinese,1764.0
Johor,2000-01-01,male,chinese,2361.0
Johor,2000-01-01,both,indian,808.0
Johor,2000-01-01,female,indian,279.0
Johor,2000-01-01,male,indian,529.0
Johor,2000-01-01,both,other_citizen,43.0
Johor,2000-01-01,female,other_citizen,16.0
Johor,2000-01-01,male,other_citizen,27.0
Johor,2000-01-01,both,other_noncitizen,379.0
Johor,2000-01-01,female,other_noncitizen,142.0
Johor,2000-01-01,male,other_noncitizen,237.0
Johor,2000-01-01,both,overall,12144.0
Johor,2000-01-01,female,overall,4981.0
Johor,2000-01-01,male,overall,7163.0
Johor,2001-01-01,both,bumi_malay,7295.0
Johor,2001-01-01,female,bumi_malay,3032.0
Johor,2001-01-01,male,bumi_malay,4263.0
Johor,2001-01-01,both,bumi_other,60.0
Johor,2001-01-01,female,bumi_other,14.0
Johor,2001-01-01,male,bumi_other,46.0
Johor,2001-01-01,both,chinese,4116.0
Johor,2001-01-01,female,chinese,1785.0
Johor,2001-01-01,male,chinese,2331.0
Johor,2001-01-01,both,indian,827.0
Johor,2001-01-01,female,indian,323.0
Johor,2001-01-01,male,indian,504.0
Johor,2001-01-01,both,other_citizen,80.0
Johor,2001-01-01,female,other_citizen,36.0
Johor,2001-01-01,male,other_citizen,44.0
Johor,2001-01-01,both,other_noncitizen,352.0
Johor,2001-01-01,female,other_noncitizen,160.0
Johor,2001-01-01,male,other_noncitizen,192.0
Johor,2001-01-01,both,overall,12730.0
Johor,2001-01-01,female,overall,5350.0
Johor,2001-01-01,male,overall,7380.0
Johor,2002-01-01,both,bumi_malay,7606.0
Johor,2002-01-01,female,bumi_malay,3274.0
Johor,2002-01-01,male,bumi_malay,4332.0
Johor,2002-01-01,both,bumi_other,63.0
Johor,2002-01-01,female,bumi_other,25.0
Johor,2002-01-01,male,bumi_other,38.0
Johor,2002-01-01,both,chinese,4459.0
Johor,2002-01-01,female,chinese,1910.0
Johor,2002-01-01,male,chinese,2549.0
Johor,2002-01-01,both,indian,881.0
Johor,2002-01-01,female,indian,286.0
Johor,2002-01-01,male,indian,595.0
Johor,2002-01-01,both,other_citizen,73.0
Johor,2002-01-01,female,other_citizen,28.0
Johor,2002-01-01,male,other_citizen,45.0
Johor,2002-01-01,both,other_noncitizen,377.0
Johor,2002-01-01,female,other_noncitizen,173.0
Johor,2002-01-01,male,other_noncitizen,204.0
Johor,2002-01-01,both,overall,13459.0
Johor,2002-01-01,female,overall,5696.0
Johor,2002-01-01,male,overall,7763.0
Johor,2003-01-01,both,bumi_malay,7640.0
Johor,2003-01-01,female,bumi_malay,3204.0
Johor,2003-01-01,male,bumi_malay,4436.0
Johor,2003-01-01,both,bumi_other,84.0
Johor,2003-01-01,female,bumi_other,29.0
Johor,2003-01-01,male,bumi_other,55.0
Johor,2003-01-01,both,chinese,4514.0
Johor,2003-01-01,female,chinese,1940.0
Johor,2003-01-01,male,chinese,2574.0
Johor,2003-01-01,both,indian,947.0
Johor,2003-01-01,female,indian,354.0
Johor,2003-01-01,male,indian,593.0
Johor,2003-01-01,both,other_citizen,84.0
Johor,2003-01-01,female,other_citizen,25.0
Johor,2003-01-01,male,other_citizen,59.0
Johor,2003-01-01,both,other_noncitizen,402.0
Johor,2003-01-01,female,other_noncitizen,186.0
Johor,2003-01-01,male,other_noncitizen,216.0
Johor,2003-01-01,both,overall,13671.0
Johor,2003-01-01,female,overall,5738.0
Johor,2003-01-01,male,overall,7933.0
Johor,2004-01-01,both,bumi_malay,7716.0
Johor,2004-01-01,female,bumi_malay,3253.0
Johor,2004-01-01,male,bumi_malay,4463.0
Johor,2004-01-01,both,bumi_other,84.0
Johor,2004-01-01,female,bumi_other,28.0
Johor,2004-01-01,male,bumi_other,56.0
Johor,2004-01-01,both,chinese,4595.0
Johor,2004-01-01,female,chinese,1982.0
Johor,2004-01-01,male,chinese,2613.0
Johor,2004-01-01,both,indian,965.0
Johor,2004-01-01,female,indian,350.0
Johor,2004-01-01,male,indian,615.0
Johor,2004-01-01,both,other_citizen,85.0
Johor,2004-01-01,female,other_citizen,31.0
Johor,2004-01-01,male,other_citizen,54.0
Johor,2004-01-01,both,other_noncitizen,397.0
Johor,2004-01-01,female,other_noncitizen,177.0
Johor,2004-01-01,male,other_noncitizen,220.0
Johor,2004-01-01,both,overall,13842.0
Johor,2004-01-01,female,overall,5821.0
Johor,2004-01-01,male,overall,8021.0
Johor,2005-01-01,both,bumi_malay,7969.0
Johor,2005-01-01,female,bumi_malay,3387.0
Johor,2005-01-01,male,bumi_malay,4582.0
Johor,2005-01-01,both,bumi_other,86.0
Johor,2005-01-01,female,bumi_other,37.0
Johor,2005-01-01,male,bumi_other,49.0
Johor,2005-01-01,both,chinese,4631.0
Johor,2005-01-01,female,chinese,2009.0
Johor,2005-01-01,male,chinese,2622.0
Johor,2005-01-01,both,indian,1000.0
Johor,2005-01-01,female,indian,344.0
Johor,2005-01-01,male,indian,656.0
Johor,2005-01-01,both,other_citizen,91.0
Johor,2005-01-01,female,other_citizen,29.0
Johor,2005-01-01,male,other_citizen,62.0
Johor,2005-01-01,both,other_noncitizen,375.0
Johor,2005-01-01,female,other_noncitizen,152.0
Johor,2005-01-01,male,other_noncitizen,223.0
Johor,2005-01-01,both,overall,14152.0
Johor,2005-01-01,female,overall,5958.0
Johor,2005-01-01,male,overall,8194.0
Johor,2006-01-01,both,bumi_malay,8177.0
Johor,2006-01-01,female,bumi_malay,3463.0
Johor,2006-01-01,male,bumi_malay,4714.0
Johor,2006-01-01,both,bumi_other,92.0
Johor,2006-01-01,female,bumi_other,23.0
Johor,2006-01-01,male,bumi_other,69.0
Johor,2006-01-01,both,chinese,4698.0
Johor,2006-01-01,female,chinese,1945.0
Johor,2006-01-01,male,chinese,2753.0
Johor,2006-01-01,both,indian,1093.0
Johor,2006-01-01,female,indian,385.0
Johor,2006-01-01,male,indian,708.0
Johor,2006-01-01,both,other_citizen,78.0
Johor,2006-01-01,female,other_citizen,24.0
Johor,2006-01-01,male,other_citizen,54.0
Johor,2006-01-01,both,other_noncitizen,408.0
Johor,2006-01-01,female,other_noncitizen,156.0
Johor,2006-01-01,male,other_noncitizen,252.0
Johor,2006-01-01,both,overall,14546.0
Johor,2006-01-01,female,overall,5996.0
Johor,2006-01-01,male,overall,8550.0
Johor,2007-01-01,both,bumi_malay,8539.0
Johor,2007-01-01,female,bumi_malay,3529.0
Johor,2007-01-01,male,bumi_malay,5010.0
Johor,2007-01-01,both,bumi_other,129.0
Johor,2007-01-01,female,bumi_other,56.0
Johor,2007-01-01,male,bumi_other,73.0
Johor,2007-01-01,both,chinese,4892.0
Johor,2007-01-01,female,chinese,2036.0
Johor,2007-01-01,male,chinese,2856.0
Johor,2007-01-01,both,indian,1101.0
Johor,2007-01-01,female,indian,377.0
Johor,2007-01-01,male,indian,724.0
Johor,2007-01-01,both,other_citizen,90.0
Johor,2007-01-01,female,other_citizen,35.0
Johor,2007-01-01,male,other_citizen,55.0
Johor,2007-01-01,both,other_noncitizen,414.0
Johor,2007-01-01,female,other_noncitizen,147.0
Johor,2007-01-01,male,other_noncitizen,267.0
Johor,2007-01-01,both,overall,15165.0
Johor,2007-01-01,female,overall,6180.0
Johor,2007-01-01,male,overall,8985.0
Johor,2008-01-01,both,bumi_malay,8967.0
Johor,2008-01-01,female,bumi_malay,3818.0
Johor,2008-01-01,male,bumi_malay,5149.0
Johor,2008-01-01,both,bumi_other,139.0
Johor,2008-01-01,female,bumi_other,51.0
Johor,2008-01-01,male,bumi_other,88.0
Johor,2008-01-01,both,chinese,5204.0
Johor,2008-01-01,female,chinese,2119.0
Johor,2008-01-01,male,chinese,3085.0
Johor,2008-01-01,both,indian,1143.0
Johor,2008-01-01,female,indian,403.0
Johor,2008-01-01,male,indian,740.0
Johor,2008-01-01,both,other_citizen,84.0
Johor,2008-01-01,female,other_citizen,27.0
Johor,2008-01-01,male,other_citizen,57.0
Johor,2008-01-01,both,other_noncitizen,389.0
Johor,2008-01-01,female,other_noncitizen,163.0
Johor,2008-01-01,male,other_noncitizen,226.0
Johor,2008-01-01,both,overall,15926.0
Johor,2008-01-01,female,overall,6581.0
Johor,2008-01-01,male,overall,9345.0
