date,state,type,abs,rate
2000-01-01,Johor,total,541,8.1
2001-01-01,Johor,total,593,9.7
2002-01-01,Johor,total,554,9.3
2003-01-01,Johor,total,528,9.1
2004-01-01,Johor,total,491,8.6
2005-01-01,Johor,total,508,9.0
2006-01-01,Johor,total,449,7.9
2007-01-01,Johor,total,429,7.4
2008-01-01,Johor,total,515,8.9
2009-01-01,Johor,total,464,8.0
2010-01-01,Johor,total,483,8.6
2011-01-01,Johor,total,456,7.8
2012-01-01,Johor,total,512,8.5
2013-01-01,Johor,total,442,7.7
2014-01-01,Johor,total,445,7.4
2015-01-01,Johor,total,517,8.5
2016-01-01,Johor,total,534,9.0
2017-01-01,Johor,total,503,8.2
2018-01-01,Johor,total,515,8.4
2019-01-01,Johor,total,473,7.8
2020-01-01,Johor,total,412,7.2
2021-01-01,Johor,total,402,8.0
2022-01-01,Johor,total,409,8.5
2023-01-01,Johor,total,412,7.3
2024-01-01,Johor,total,434,8.5
2000-01-01,Johor,perinatal,193,2.9
2001-01-01,Johor,perinatal,366,5.9
2002-01-01,Johor,perinatal,378,6.3
2003-01-01,Johor,perinatal,416,7.1
2004-01-01,Johor,perinatal,362,6.3
2005-01-01,Johor,perinatal,389,6.9
2006-01-01,Johor,perinatal,397,7.0
2007-01-01,Johor,perinatal,421,7.3
2008-01-01,Johor,perinatal,394,6.8
2009-01-01,Johor,perinatal,423,7.3
2010-01-01,Johor,perinatal,402,7.1
2011-01-01,Johor,perinatal,404,6.9
2012-01-01,Johor,perinatal,429,7.1
2013-01-01,Johor,perinatal,441,7.6
2014-01-01,Johor,perinatal,414,6.8
2015-01-01,Johor,perinatal,540,8.9
2016-01-01,Johor,perinatal,543,9.1
2017-01-01,Johor,perinatal,504,8.2
2018-01-01,Johor,perinatal,576,9.4
2019-01-01,Johor,perinatal,499,8.2
2020-01-01,Johor,perinatal,456,8.0
2021-01-01,Johor,perinatal,431,8.6
2022-01-01,Johor,perinatal,382,7.9
2023-01-01,Johor,perinatal,383,6.8
2024-01-01,Johor,perinatal,363,7.1
2000-01-01,Johor,neonatal,239,3.6
2001-01-01,Johor,neonatal,281,4.6
2002-01-01,Johor,neonatal,257,4.3
2003-01-01,Johor,neonatal,247,4.2
2004-01-01,Johor,neonatal,235,4.1
2005-01-01,Johor,neonatal,237,4.2
2006-01-01,Johor,neonatal,228,4.0
2007-01-01,Johor,neonatal,223,3.9
2008-01-01,Johor,neonatal,252,4.4
2009-01-01,Johor,neonatal,235,4.1
2010-01-01,Johor,neonatal,248,4.4
2011-01-01,Johor,neonatal,228,3.9
2012-01-01,Johor,neonatal,267,4.4
2013-01-01,Johor,neonatal,235,4.1
2014-01-01,Johor,neonatal,242,4.0
2015-01-01,Johor,neonatal,285,4.7
2016-01-01,Johor,neonatal,287,4.8
2017-01-01,Johor,neonatal,274,4.5
2018-01-01,Johor,neonatal,265,4.3
2019-01-01,Johor,neonatal,238,3.9
2020-01-01,Johor,neonatal,239,4.2
