state,date,indicator,n,estimated_population,prevalence_pct,ci_lower,ci_upper,unreliable_estimate
Malaysia,2017-01-01,depression,4783,382418,18.3,17.20,19.38,0
Johor,2017-01-01,depression,251,39599,14.6,11.61,18.14,0
Kedah,2017-01-01,depression,218,19585,13.1,11.07,15.53,0
Kelantan,2017-01-01,depression,236,18668,16.0,12.95,19.60,0
Melaka,2017-01-01,depression,287,10161,15.4,13.00,18.13,0
Negeri Sembilan,2017-01-01,depression,263,14189,16.4,13.14,20.28,0
Pahang,2017-01-01,depression,348,21174,21.0,16.57,26.26,0
Pulau Pinang,2017-01-01,depression,318,20853,18.8,14.95,23.36,0
Perak,2017-01-01,depression,324,33577,18.8,15.30,22.99,0
Perlis,2017-01-01,depression,291,4744,17.9,15.21,21.02,0
Selangor,2017-01-01,depression,356,86059,22.6,18.83,26.95,0
Terengganu,2017-01-01,depression,255,15373,16.0,13.72,18.66,0
Sabah,2017-01-01,depression,350,42316,21.9,18.59,25.63,0
Sarawak,2017-01-01,depression,259,29844,15.4,13.51,17.54,0
WP Kuala Lumpur,2017-01-01,depression,375,23620,21.3,18.77,24.06,0
WP Labuan,2017-01-01,depression,350,1120,20.7,17.10,24.92,0
WP Putrajaya,2017-01-01,depression,302,1535,18.5,15.35,22.02,0
Malaysia,2017-01-01,anxiety,10540,832181,39.7,38.39,41.06,0
Johor,2017-01-01,anxiety,630,100217,37.0,31.59,42.83,0
Kedah,2017-01-01,anxiety,572,51847,34.8,31.16,38.70,0
Kelantan,2017-01-01,anxiety,571,42623,36.8,33.62,40.09,0
Melaka,2017-01-01,anxiety,677,24719,37.2,34.66,39.79,0
Negeri Sembilan,2017-01-01,anxiety,652,33191,38.1,33.06,43.42,0
Pahang,2017-01-01,anxiety,737,43013,42.4,38.33,46.48,0
Pulau Pinang,2017-01-01,anxiety,648,41655,37.6,32.89,42.50,0
Perak,2017-01-01,anxiety,690,72090,40.4,36.92,44.03,0
Perlis,2017-01-01,anxiety,629,10072,38.1,34.13,42.15,0
Selangor,2017-01-01,anxiety,691,164774,43.2,39.22,47.24,0
Terengganu,2017-01-01,anxiety,612,37148,38.7,35.27,42.33,0
Sabah,2017-01-01,anxiety,759,90322,46.8,43.01,50.68,0
Sarawak,2017-01-01,anxiety,606,69849,36.1,31.68,40.75,0
WP Kuala Lumpur,2017-01-01,anxiety,719,45111,40.4,37.23,43.72,0
WP Labuan,2017-01-01,anxiety,671,2121,39.5,36.06,43.02,0
WP Putrajaya,2017-01-01,anxiety,676,3431,41.2,36.52,46.14,0
Malaysia,2017-01-01,stress,2487,200999,9.6,9.03,10.25,0
Johor,2017-01-01,stress,160,25206,9.3,7.85,10.95,0
Kedah,2017-01-01,stress,102,9402,6.3,4.79,8.27,0
Kelantan,2017-01-01,stress,108,8143,7.0,5.14,9.38,0
Melaka,2017-01-01,stress,159,5624,8.5,7.27,9.95,0
Negeri Sembilan,2017-01-01,stress,141,7126,8.2,6.35,10.59,0
Pahang,2017-01-01,stress,182,10531,10.4,8.99,11.96,0
Pulau Pinang,2017-01-01,stress,154,10121,9.2,7.18,11.70,0
Perak,2017-01-01,stress,144,15185,8.5,6.85,10.60,0
Perlis,2017-01-01,stress,112,1750,6.6,5.21,8.40,0
Selangor,2017-01-01,stress,189,47393,12.5,10.36,15.05,0
Terengganu,2017-01-01,stress,125,7324,7.6,6.35,9.15,0
Sabah,2017-01-01,stress,190,23427,12.3,10.88,13.85,0
Sarawak,2017-01-01,stress,145,15951,8.3,6.82,9.98,0
WP Kuala Lumpur,2017-01-01,stress,191,12225,11.0,9.59,12.63,0
WP Labuan,2017-01-01,stress,204,648,12.1,10.74,13.60,0
WP Putrajaya,2017-01-01,stress,181,944,11.4,9.14,14.02,0
