state,date,n,estimated_population,prevalence_pct,ci_lower,ci_upper
Malaysia,2019-01-01,1403,1999450,9.4,8.66,10.20
Johor,2019-01-01,114,211468,8.7,7.05,10.77
Kedah,2019-01-01,79,165203,12.9,10.20,16.12
Kelantan,2019-01-01,83,108518,9.7,8.10,11.55
Melaka,2019-01-01,107,81897,13.7,10.10,18.38
Negeri Sembilan,2019-01-01,114,89439,12.7,9.63,16.54
Pahang,2019-01-01,78,97036,9.5,7.05,12.76
Pulau Pinang,2019-01-01,66,110854,8.8,5.37,14.19
Perak,2019-01-01,108,235785,15.2,12.12,19.00
Perlis,2019-01-01,107,21502,13.5,10.80,16.64
Selangor,2019-01-01,153,408113,8.9,6.98,11.29
Terengganu,2019-01-01,92,77506,10.5,8.11,13.41
Sabah,2019-01-01,56,105240,4.1,2.51,6.60
Sarawak,2019-01-01,75,141915,7.7,6.15,9.55
WP Kuala Lumpur,2019-01-01,75,133647,10.3,7.91,13.29
WP Labuan,2019-01-01,43,5214,8.2,5.25,12.66
WP Putrajaya,2019-01-01,53,6110,10.7,8.20,13.78
