state,date,n,estimated_population,prevalence_pct,ci_lower,ci_upper
Malaysia,2019-01-01,2394,3378796,15.9,14.79,17.05
Johor,2019-01-01,201,359725,14.9,11.90,18.38
Kedah,2019-01-01,131,238007,18.6,14.14,23.96
Kelantan,2019-01-01,137,176320,15.7,12.58,19.51
Melaka,2019-01-01,173,111916,18.8,15.63,22.34
Negeri Sembilan,2019-01-01,166,139558,19.8,14.58,26.31
Pahang,2019-01-01,123,154826,15.2,11.88,19.34
Pulau Pinang,2019-01-01,143,200588,16.0,11.20,22.31
Perak,2019-01-01,168,351031,22.7,16.74,30.02
Perlis,2019-01-01,149,28292,17.7,14.43,21.52
Selangor,2019-01-01,219,582509,12.7,10.61,15.16
Terengganu,2019-01-01,124,110687,15.0,11.41,19.35
Sabah,2019-01-01,188,345837,13.4,10.44,17.14
Sarawak,2019-01-01,190,361448,19.6,16.07,23.58
WP Kuala Lumpur,2019-01-01,122,199927,15.4,12.54,18.77
WP Labuan,2019-01-01,95,10290,16.2,12.85,20.32
WP Putrajaya,2019-01-01,65,7836,13.7,10.42,17.78
