state,date,indicator,n,estimated_population,prevalence_pct,ci_lower,ci_upper,unreliable_estimate
Johor,2015-01-01,raised_blood_glucose,421,472454,19.8,16.8,23.3,0
Kedah,2015-01-01,raised_blood_glucose,336,334370,25.4,21.0,30.3,0
Kelantan,2015-01-01,raised_blood_glucose,256,185828,18.5,15.9,21.3,0
Melaka,2015-01-01,raised_blood_glucose,251,95518,16.7,13.5,20.6,0
Negeri Sembilan,2015-01-01,raised_blood_glucose,306,131288,19.3,16.6,22.4,0
Pahang,2015-01-01,raised_blood_glucose,219,147676,14.8,12.4,17.6,0
Pulau Pinang,2015-01-01,raised_blood_glucose,288,218925,18.1,14.0,23.2,0
Perak,2015-01-01,raised_blood_glucose,323,320042,19.4,17.1,21.9,0
Perlis,2015-01-01,raised_blood_glucose,370,33090,20.6,18.0,23.5,0
Selangor,2015-01-01,raised_blood_glucose,483,649586,15.5,13.8,17.4,0
Terengganu,2015-01-01,raised_blood_glucose,257,127439,18.6,16.1,21.3,0
Sarawak,2015-01-01,raised_blood_glucose,216,260126,14.8,12.1,18.2,0
WP Kuala Lumpur,2015-01-01,raised_blood_glucose,136,217512,17.4,14.3,21.1,0
WP Putrajaya,2015-01-01,raised_blood_glucose,95,9362,19.2,15.8,23.3,0
Malaysia,2015-01-01,raised_blood_glucose,4229,3529804,17.5,16.6,18.3,0
Johor,2015-01-01,known_diabetes,198,210510,8.8,7.3,10.7,0
Kedah,2015-01-01,known_diabetes,142,122462,9.3,7.8,11.1,0
Kelantan,2015-01-01,known_diabetes,112,71799,7.1,6.1,8.4,0
Melaka,2015-01-01,known_diabetes,140,47535,8.3,6.7,10.4,0
Negeri Sembilan,2015-01-01,known_diabetes,174,71451,10.5,8.5,12.9,0
Pahang,2015-01-01,known_diabetes,98,62338,6.3,4.9,7.9,0
Pulau Pinang,2015-01-01,known_diabetes,141,109040,9.0,7.3,11.1,0
Perak,2015-01-01,known_diabetes,192,197158,11.9,9.9,14.3,0
Perlis,2015-01-01,known_diabetes,206,17555,10.9,9.3,12.7,0
Selangor,2015-01-01,known_diabetes,266,325876,7.8,6.6,9.1,0
Terengganu,2015-01-01,known_diabetes,127,59422,8.7,7.0,10.7,0
Sarawak,2015-01-01,known_diabetes,117,144868,8.3,6.3,10.8,0
WP Kuala Lumpur,2015-01-01,known_diabetes,67,101090,8.1,6.1,10.7,0
WP Putrajaya,2015-01-01,known_diabetes,24,2578,5.3,3.3,8.5,0
Malaysia,2015-01-01,known_diabetes,2126,1678680,8.3,7.8,8.8,0
Johor,2015-01-01,undiagnosed_diabetes,223,261944,11.0,8.8,13.7,0
Kedah,2015-01-01,undiagnosed_diabetes,194,211908,16.1,12.3,20.7,0
Kelantan,2015-01-01,undiagnosed_diabetes,144,114029,11.3,9.2,13.9,0
Melaka,2015-01-01,undiagnosed_diabetes,111,47982,8.4,6.0,11.7,0
Negeri Sembilan,2015-01-01,undiagnosed_diabetes,132,59837,8.8,7.2,10.8,0
Pahang,2015-01-01,undiagnosed_diabetes,121,85338,8.6,6.4,11.3,0
Pulau Pinang,2015-01-01,undiagnosed_diabetes,147,109885,9.1,5.9,13.9,0
Perak,2015-01-01,undiagnosed_diabetes,131,122884,7.4,6.2,8.9,0
Perlis,2015-01-01,undiagnosed_diabetes,164,15535,9.7,7.8,11.9,0
Selangor,2015-01-01,undiagnosed_diabetes,217,323710,7.7,6.4,9.3,0
Terengganu,2015-01-01,undiagnosed_diabetes,130,68017,9.9,7.6,12.9,0
Sarawak,2015-01-01,undiagnosed_diabetes,99,115258,6.6,5.1,8.5,0
WP Kuala Lumpur,2015-01-01,undiagnosed_diabetes,69,116422,9.3,6.9,12.5,0
WP Putrajaya,2015-01-01,undiagnosed_diabetes,71,6784,13.9,11.1,17.4,0
Malaysia,2015-01-01,undiagnosed_diabetes,2103,1851124,9.2,8.5,9.9,0
