state,date,abs,rate
Johor,2000-01-01,29,0.4
Johor,2001-01-01,162,2.6
Johor,2002-01-01,198,3.3
Johor,2003-01-01,229,3.9
Johor,2004-01-01,192,3.3
Johor,2005-01-01,220,3.9
Johor,2006-01-01,226,4.0
Johor,2007-01-01,250,4.3
Johor,2008-01-01,217,3.7
Johor,2009-01-01,257,4.4
Johor,2010-01-01,228,4.1
Johor,2011-01-01,242,4.1
Johor,2012-01-01,244,4.0
Johor,2013-01-01,269,4.7
Johor,2014-01-01,238,3.9
Johor,2015-01-01,319,5.2
Johor,2016-01-01,322,5.4
Johor,2017-01-01,302,4.9
Johor,2018-01-01,374,6.1
Johor,2019-01-01,329,5.4
Johor,2020-01-01,270,4.7
Johor,2021-01-01,259,5.2
Johor,2022-01-01,231,4.8
Johor,2023-01-01,235,4.2
Johor,2024-01-01,204,4.0
Kedah,2000-01-01,110,2.7
Kedah,2001-01-01,223,5.8
Kedah,2002-01-01,232,6.3
Kedah,2003-01-01,232,6.5
Kedah,2004-01-01,211,6.0
Kedah,2005-01-01,218,6.3
Kedah,2006-01-01,199,5.8
Kedah,2007-01-01,193,5.7
Kedah,2008-01-01,190,5.3
Kedah,2009-01-01,191,5.3
Kedah,2010-01-01,189,5.4
Kedah,2011-01-01,193,5.3
Kedah,2012-01-01,180,4.9
Kedah,2013-01-01,191,5.4
Kedah,2014-01-01,191,5.2
Kedah,2015-01-01,177,4.8
Kedah,2016-01-01,178,4.9
Kedah,2017-01-01,195,5.3
Kedah,2018-01-01,167,4.7
Kedah,2019-01-01,181,5.2
Kedah,2020-01-01,155,4.6
Kedah,2021-01-01,138,4.2
Kedah,2022-01-01,149,4.8
Kedah,2023-01-01,153,4.5
Kedah,2024-01-01,135,4.4
Kelantan,2000-01-01,157,3.9
Kelantan,2001-01-01,189,4.9
Kelantan,2002-01-01,256,6.8
Kelantan,2003-01-01,287,8.0
Kelantan,2004-01-01,263,7.4
Kelantan,2005-01-01,235,6.8
Kelantan,2006-01-01,231,6.8
Kelantan,2007-01-01,232,6.8
Kelantan,2008-01-01,221,6.3
Kelantan,2009-01-01,222,6.2
Kelantan,2010-01-01,224,6.2
Kelantan,2011-01-01,240,6.3
Kelantan,2012-01-01,243,6.5
Kelantan,2013-01-01,203,5.5
Kelantan,2014-01-01,217,5.5
Kelantan,2015-01-01,201,5.1
Kelantan,2016-01-01,224,5.8
Kelantan,2017-01-01,224,5.7
Kelantan,2018-01-01,197,5.1
Kelantan,2019-01-01,205,5.5
Kelantan,2020-01-01,198,5.4
Kelantan,2021-01-01,202,5.8
Kelantan,2022-01-01,172,5.1
Kelantan,2023-01-01,166,4.6
Kelantan,2024-01-01,137,4.3
Melaka,2000-01-01,92,6.0
Melaka,2001-01-01,84,5.8
Melaka,2002-01-01,85,6.1
Melaka,2003-01-01,77,5.5
Melaka,2004-01-01,62,4.6
Melaka,2005-01-01,71,5.3
Melaka,2006-01-01,98,7.5
Melaka,2007-01-01,71,5.3
Melaka,2008-01-01,83,6.1
Melaka,2009-01-01,77,5.7
Melaka,2010-01-01,60,4.6
Melaka,2011-01-01,70,5.0
Melaka,2012-01-01,78,5.4
Melaka,2013-01-01,60,4.4
Melaka,2014-01-01,71,4.9
Melaka,2015-01-01,65,4.4
Melaka,2016-01-01,66,4.6
Melaka,2017-01-01,71,4.9
Melaka,2018-01-01,84,5.8
Melaka,2019-01-01,68,4.8
Melaka,2020-01-01,65,4.7
Melaka,2021-01-01,60,4.5
Melaka,2022-01-01,53,4.0
Melaka,2023-01-01,63,4.6
Melaka,2024-01-01,54,4.3
Negeri Sembilan,2000-01-01,41,2.1
Negeri Sembilan,2001-01-01,77,4.3
Negeri Sembilan,2002-01-01,81,4.6
Negeri Sembilan,2003-01-01,92,5.3
Negeri Sembilan,2004-01-01,105,6.1
Negeri Sembilan,2005-01-01,88,5.2
Negeri Sembilan,2006-01-01,79,4.7
Negeri Sembilan,2007-01-01,85,4.9
Negeri Sembilan,2008-01-01,90,5.2
Negeri Sembilan,2009-01-01,89,5.1
Negeri Sembilan,2010-01-01,86,5.1
Negeri Sembilan,2011-01-01,85,4.8
Negeri Sembilan,2012-01-01,82,4.6
Negeri Sembilan,2013-01-01,88,5.0
Negeri Sembilan,2014-01-01,67,3.6
Negeri Sembilan,2015-01-01,87,4.7
Negeri Sembilan,2016-01-01,76,4.2
Negeri Sembilan,2017-01-01,98,5.4
Negeri Sembilan,2018-01-01,92,5.0
Negeri Sembilan,2019-01-01,80,4.6
Negeri Sembilan,2020-01-01,90,5.2
Negeri Sembilan,2021-01-01,60,3.6
Negeri Sembilan,2022-01-01,68,4.2
Negeri Sembilan,2023-01-01,65,3.9
Negeri Sembilan,2024-01-01,69,4.7
Pahang,2000-01-01,121,4.1
Pahang,2001-01-01,162,5.8
Pahang,2002-01-01,169,6.3
Pahang,2003-01-01,156,5.9
Pahang,2004-01-01,159,6.1
Pahang,2005-01-01,133,5.2
Pahang,2006-01-01,145,5.8
Pahang,2007-01-01,156,6.2
Pahang,2008-01-01,122,4.7
Pahang,2009-01-01,123,4.7
Pahang,2010-01-01,120,4.6
Pahang,2011-01-01,136,5.0
Pahang,2012-01-01,130,4.7
Pahang,2013-01-01,122,4.5
Pahang,2014-01-01,157,5.4
Pahang,2015-01-01,154,5.5
Pahang,2016-01-01,152,5.5
Pahang,2017-01-01,158,5.7
Pahang,2018-01-01,157,5.8
Pahang,2019-01-01,129,5.0
Pahang,2020-01-01,113,4.4
Pahang,2021-01-01,107,4.3
Pahang,2022-01-01,117,4.9
Pahang,2023-01-01,115,4.7
Pahang,2024-01-01,123,5.7
Perak,2000-01-01,35,0.7
Perak,2001-01-01,218,5.0
Perak,2002-01-01,223,5.2
Perak,2003-01-01,227,5.7
Perak,2004-01-01,190,4.8
Perak,2005-01-01,175,4.7
Perak,2006-01-01,181,4.9
Perak,2007-01-01,180,4.9
Perak,2008-01-01,186,5.0
Perak,2009-01-01,161,4.3
Perak,2010-01-01,166,4.6
Perak,2011-01-01,177,4.7
Perak,2012-01-01,129,3.4
Perak,2013-01-01,163,4.6
Perak,2014-01-01,149,4.1
Perak,2015-01-01,156,4.3
Perak,2016-01-01,211,5.9
Perak,2017-01-01,170,4.9
Perak,2018-01-01,149,4.4
Perak,2019-01-01,200,6.0
Perak,2020-01-01,168,5.3
Perak,2021-01-01,147,4.7
Perak,2022-01-01,124,4.2
Perak,2023-01-01,159,5.1
Perak,2024-01-01,134,4.8
Perlis,2000-01-01,36,7.7
Perlis,2001-01-01,29,6.6
Perlis,2002-01-01,29,6.8
Perlis,2003-01-01,29,7.1
Perlis,2004-01-01,29,7.3
Perlis,2005-01-01,30,7.6
Perlis,2006-01-01,27,6.9
Perlis,2007-01-01,19,4.8
Perlis,2008-01-01,18,4.3
Perlis,2009-01-01,16,3.8
Perlis,2010-01-01,25,6.0
Perlis,2011-01-01,23,5.5
Perlis,2012-01-01,22,5.3
Perlis,2013-01-01,17,4.2
Perlis,2014-01-01,21,4.6
Perlis,2015-01-01,25,5.8
Perlis,2016-01-01,22,5.0
Perlis,2017-01-01,25,5.6
Perlis,2018-01-01,23,5.2
Perlis,2019-01-01,29,7.1
Perlis,2020-01-01,24,5.8
Perlis,2021-01-01,13,3.2
Perlis,2022-01-01,14,3.7
Perlis,2023-01-01,26,6.7
Perlis,2024-01-01,14,3.9
Pulau Pinang,2000-01-01,35,1.3
Pulau Pinang,2001-01-01,92,3.7
Pulau Pinang,2002-01-01,102,4.1
Pulau Pinang,2003-01-01,101,4.3
Pulau Pinang,2004-01-01,119,5.2
Pulau Pinang,2005-01-01,97,4.3
Pulau Pinang,2006-01-01,127,5.7
Pulau Pinang,2007-01-01,103,4.6
Pulau Pinang,2008-01-01,104,4.5
Pulau Pinang,2009-01-01,89,3.9
Pulau Pinang,2010-01-01,81,3.8
Pulau Pinang,2011-01-01,101,4.5
Pulau Pinang,2012-01-01,97,4.1
Pulau Pinang,2013-01-01,86,4.0
Pulau Pinang,2014-01-01,83,3.6
Pulau Pinang,2015-01-01,103,4.6
Pulau Pinang,2016-01-01,123,5.6
Pulau Pinang,2017-01-01,111,5.1
Pulau Pinang,2018-01-01,123,5.9
Pulau Pinang,2019-01-01,122,6.0
Pulau Pinang,2020-01-01,100,5.1
Pulau Pinang,2021-01-01,98,5.2
Pulau Pinang,2022-01-01,96,5.4
Pulau Pinang,2023-01-01,79,4.0
Pulau Pinang,2024-01-01,83,4.5
Sabah,2000-01-01,33,0.7
Sabah,2001-01-01,84,1.7
Sabah,2002-01-01,84,1.8
Sabah,2003-01-01,65,1.5
Sabah,2004-01-01,77,1.7
Sabah,2005-01-01,90,1.9
Sabah,2006-01-01,73,1.6
Sabah,2007-01-01,91,1.9
Sabah,2008-01-01,111,2.2
Sabah,2009-01-01,132,2.5
Sabah,2010-01-01,175,3.2
Sabah,2011-01-01,181,3.3
Sabah,2012-01-01,205,3.5
Sabah,2013-01-01,182,3.2
Sabah,2014-01-01,199,3.5
Sabah,2015-01-01,173,3.2
Sabah,2016-01-01,323,6.2
Sabah,2017-01-01,386,7.3
Sabah,2018-01-01,431,8.1
Sabah,2019-01-01,289,5.4
Sabah,2020-01-01,354,7.1
Sabah,2021-01-01,324,7.7
Sabah,2022-01-01,296,6.7
Sabah,2023-01-01,304,6.5
Sabah,2024-01-01,213,5.0
Sarawak,2000-01-01,51,1.1
Sarawak,2001-01-01,125,2.7
Sarawak,2002-01-01,87,1.9
Sarawak,2003-01-01,99,2.2
Sarawak,2004-01-01,130,3.0
Sarawak,2005-01-01,154,3.5
Sarawak,2006-01-01,153,3.6
Sarawak,2007-01-01,148,3.5
Sarawak,2008-01-01,182,4.2
Sarawak,2009-01-01,211,4.8
Sarawak,2010-01-01,183,4.4
Sarawak,2011-01-01,194,4.5
Sarawak,2012-01-01,172,4.0
Sarawak,2013-01-01,186,4.6
Sarawak,2014-01-01,174,4.2
Sarawak,2015-01-01,163,4.1
Sarawak,2016-01-01,171,4.5
Sarawak,2017-01-01,193,5.1
Sarawak,2018-01-01,185,5.0
Sarawak,2019-01-01,190,5.2
Sarawak,2020-01-01,187,5.2
Sarawak,2021-01-01,137,4.4
Sarawak,2022-01-01,162,5.2
Sarawak,2023-01-01,139,4.1
Sarawak,2024-01-01,137,4.5
Selangor,2000-01-01,177,1.9
Selangor,2001-01-01,236,2.7
Selangor,2002-01-01,246,2.7
Selangor,2003-01-01,322,3.6
Selangor,2004-01-01,313,3.3
Selangor,2005-01-01,328,3.5
Selangor,2006-01-01,351,3.7
Selangor,2007-01-01,335,3.4
Selangor,2008-01-01,347,3.4
Selangor,2009-01-01,365,3.5
Selangor,2010-01-01,362,3.7
Selangor,2011-01-01,386,3.7
Selangor,2012-01-01,412,3.8
Selangor,2013-01-01,392,3.8
Selangor,2014-01-01,426,3.9
Selangor,2015-01-01,419,3.9
Selangor,2016-01-01,484,4.6
Selangor,2017-01-01,518,5.0
Selangor,2018-01-01,505,4.9
Selangor,2019-01-01,513,5.2
Selangor,2020-01-01,453,4.8
Selangor,2021-01-01,426,4.7
Selangor,2022-01-01,418,5.0
Selangor,2023-01-01,424,4.7
Selangor,2024-01-01,383,4.6
Terengganu,2000-01-01,118,4.7
Terengganu,2001-01-01,146,6.0
Terengganu,2002-01-01,165,7.1
Terengganu,2003-01-01,127,5.7
Terengganu,2004-01-01,164,7.2
Terengganu,2005-01-01,138,6.2
Terengganu,2006-01-01,154,7.0
Terengganu,2007-01-01,167,7.4
Terengganu,2008-01-01,151,6.4
Terengganu,2009-01-01,183,7.6
Terengganu,2010-01-01,191,7.8
Terengganu,2011-01-01,169,6.8
Terengganu,2012-01-01,167,6.5
Terengganu,2013-01-01,142,5.5
Terengganu,2014-01-01,173,6.4
