date,state,households
2011-01-01,Malaysia,7117005
2012-01-01,Malaysia,7321456
2013-01-01,Malaysia,7409487
2014-01-01,Malaysia,7651149
2015-01-01,Malaysia,7896527
2016-01-01,Malaysia,8004483
2017-01-01,Malaysia,8228122
2018-01-01,Malaysia,8452376
2019-01-01,Malaysia,8656150
2020-01-01,Malaysia,8855674
2021-01-01,Malaysia,9077820
2011-01-01,Sabah,384384
2012-01-01,Sabah,403387
2013-01-01,Sabah,422964
2014-01-01,Sabah,442516
2015-01-01,Sabah,460321
2016-01-01,Sabah,478049
2017-01-01,Sabah,491809
2018-01-01,Sabah,505239
2019-01-01,Sabah,519308
2020-01-01,Sabah,529185
2021-01-01,Sabah,544186
2011-01-01,Sarawak,444340
2012-01-01,Sarawak,461422
2013-01-01,Sarawak,483106
2014-01-01,Sarawak,498601
2015-01-01,Sarawak,516084
2016-01-01,Sarawak,536466
2017-01-01,Sarawak,554467
2018-01-01,Sarawak,568712
2019-01-01,Sarawak,583613
2020-01-01,Sarawak,598106
2021-01-01,Sarawak,617255
2011-01-01,Semenanjung Malaysia,6288281
2012-01-01,Semenanjung Malaysia,6456647
2013-01-01,Semenanjung Malaysia,6503417
2014-01-01,Semenanjung Malaysia,6710032
2015-01-01,Semenanjung Malaysia,6920122
2016-01-01,Semenanjung Malaysia,6989968
2017-01-01,Semenanjung Malaysia,7181846
2018-01-01,Semenanjung Malaysia,7378425
2019-01-01,Semenanjung Malaysia,7553229
2020-01-01,Semenanjung Malaysia,7728383
2021-01-01,Semenanjung Malaysia,7916379
