date,state,type,staff
2014-01-01,Malaysia,all,121530
2015-01-01,Malaysia,all,132082
2016-01-01,Malaysia,all,137743
2017-01-01,Malaysia,all,143596
2018-01-01,Malaysia,all,147674
2019-01-01,Malaysia,all,154177
2020-01-01,Malaysia,all,156639
2021-01-01,Malaysia,all,162634
2022-01-01,Malaysia,all,167690
2014-01-01,Malaysia,dentist,3763
2015-01-01,Malaysia,dentist,4021
2016-01-01,Malaysia,dentist,4591
2017-01-01,Malaysia,dentist,5736
2018-01-01,Malaysia,dentist,6455
2019-01-01,Malaysia,dentist,7087
2020-01-01,Malaysia,dentist,7443
2021-01-01,Malaysia,dentist,7785
2022-01-01,Malaysia,dentist,7828
2014-01-01,Malaysia,doctor,33275
2015-01-01,Malaysia,doctor,33545
2016-01-01,Malaysia,doctor,36403
2017-01-01,Malaysia,doctor,43348
2018-01-01,Malaysia,doctor,46509
2019-01-01,Malaysia,doctor,52129
2020-01-01,Malaysia,doctor,54338
2021-01-01,Malaysia,doctor,55918
2022-01-01,Malaysia,doctor,58193
2014-01-01,Malaysia,nurse,59364
2015-01-01,Malaysia,nurse,69590
2016-01-01,Malaysia,nurse,72025
2017-01-01,Malaysia,nurse,70888
2018-01-01,Malaysia,nurse,71499
2019-01-01,Malaysia,nurse,71778
2020-01-01,Malaysia,nurse,72826
2021-01-01,Malaysia,nurse,78426
2022-01-01,Malaysia,nurse,79397
2014-01-01,Malaysia,nurse_community,25128
2015-01-01,Malaysia,nurse_community,24926
2016-01-01,Malaysia,nurse_community,24724
2017-01-01,Malaysia,nurse_community,23624
2018-01-01,Malaysia,nurse_community,23211
2019-01-01,Malaysia,nurse_community,23183
2020-01-01,Malaysia,nurse_community,22032
2021-01-01,Malaysia,nurse_community,20505
2022-01-01,Malaysia,nurse_community,22272
2014-01-01,Johor,all,11114
2015-01-01,Johor,all,11721
2016-01-01,Johor,all,11987
2017-01-01,Johor,all,12506
2018-01-01,Johor,all,12764
2019-01-01,Johor,all,13553
2020-01-01,Johor,all,12294
2021-01-01,Johor,all,14586
2022-01-01,Johor,all,14634
2014-01-01,Johor,dentist,321
2015-01-01,Johor,dentist,331
2016-01-01,Johor,dentist,384
2017-01-01,Johor,dentist,546
2018-01-01,Johor,dentist,613
2019-01-01,Johor,dentist,656
2020-01-01,Johor,dentist,677
2021-01-01,Johor,dentist,701
2022-01-01,Johor,dentist,686
2014-01-01,Johor,doctor,2720
2015-01-01,Johor,doctor,2854
2016-01-01,Johor,doctor,2887
2017-01-01,Johor,doctor,3235
2018-01-01,Johor,doctor,3541
2019-01-01,Johor,doctor,4154
2020-01-01,Johor,doctor,4925
2021-01-01,Johor,doctor,4967
2022-01-01,Johor,doctor,5023
2014-01-01,Johor,nurse,5980
2015-01-01,Johor,nurse,6441
2016-01-01,Johor,nurse,6688
2017-01-01,Johor,nurse,6769
2018-01-01,Johor,nurse,6677
2019-01-01,Johor,nurse,6814
2020-01-01,Johor,nurse,4830
2021-01-01,Johor,nurse,7146
2022-01-01,Johor,nurse,7055
2014-01-01,Johor,nurse_community,2093
2015-01-01,Johor,nurse_community,2095
2016-01-01,Johor,nurse_community,2028
2017-01-01,Johor,nurse_community,1956
2018-01-01,Johor,nurse_community,1933
2019-01-01,Johor,nurse_community,1929
2020-01-01,Johor,nurse_community,1862
2021-01-01,Johor,nurse_community,1772
2022-01-01,Johor,nurse_community,1870
2014-01-01,Kedah,all,8018
2015-01-01,Kedah,all,8540
2016-01-01,Kedah,all,8762
2017-01-01,Kedah,all,8985
2018-01-01,Kedah,all,9229
2019-01-01,Kedah,all,9666
2020-01-01,Kedah,all,10652
2021-01-01,Kedah,all,10486
2022-01-01,Kedah,all,10372
2014-01-01,Kedah,dentist,250
2015-01-01,Kedah,dentist,263
2016-01-01,Kedah,dentist,292
2017-01-01,Kedah,dentist,365
2018-01-01,Kedah,dentist,399
2019-01-01,Kedah,dentist,433
2020-01-01,Kedah,dentist,447
2021-01-01,Kedah,dentist,497
2022-01-01,Kedah,dentist,507
2014-01-01,Kedah,doctor,1895
2015-01-01,Kedah,doctor,2036
2016-01-01,Kedah,doctor,2166
2017-01-01,Kedah,doctor,2292
2018-01-01,Kedah,doctor,2558
2019-01-01,Kedah,doctor,2919
2020-01-01,Kedah,doctor,3380
2021-01-01,Kedah,doctor,3404
2022-01-01,Kedah,doctor,3179
2014-01-01,Kedah,nurse,4169
2015-01-01,Kedah,nurse,4542
2016-01-01,Kedah,nurse,4613
2017-01-01,Kedah,nurse,4669
2018-01-01,Kedah,nurse,4618
2019-01-01,Kedah,nurse,4640
2020-01-01,Kedah,nurse,5151
2021-01-01,Kedah,nurse,5015
2022-01-01,Kedah,nurse,4981
2014-01-01,Kedah,nurse_community,1704
2015-01-01,Kedah,nurse_community,1699
2016-01-01,Kedah,nurse_community,1691
2017-01-01,Kedah,nurse_community,1659
2018-01-01,Kedah,nurse_community,1654
2019-01-01,Kedah,nurse_community,1674
2020-01-01,Kedah,nurse_community,1674
2021-01-01,Kedah,nurse_community,1570
2022-01-01,Kedah,nurse_community,1705
2014-01-01,Kelantan,all,6791
2015-01-01,Kelantan,all,8505
2016-01-01,Kelantan,all,8683
2017-01-01,Kelantan,all,8990
2018-01-01,Kelantan,all,9084
