date,state,district,type,beds
2022-01-01,Malaysia,All,all,49985
2022-01-01,Johor,All Districts,all,5433
2022-01-01,Johor,Batu Pahat,all,610
2022-01-01,Johor,Johor Bahru,all,3042
2022-01-01,Johor,Kluang,all,382
2022-01-01,Johor,Kota Tinggi,all,158
2022-01-01,Johor,Kulaijaya,all,93
2022-01-01,Johor,Ledang,all,69
2022-01-01,Johor,Mersing,all,70
2022-01-01,Johor,Muar,all,575
2022-01-01,Johor,Pontian,all,120
2022-01-01,Johor,Segamat,all,314
2022-01-01,Kedah,All Districts,all,2762
2022-01-01,Kedah,Baling,all,115
2022-01-01,Kedah,Bandar Baharu,all,0
2022-01-01,Kedah,Kota Setar,all,1108
2022-01-01,Kedah,Kuala Muda,all,703
2022-01-01,Kedah,Kubang Pasu,all,91
2022-01-01,Kedah,Kulim,all,320
2022-01-01,Kedah,Langkawi,all,163
2022-01-01,Kedah,Padang Terap,all,80
2022-01-01,Kedah,Pendang,all,0
2022-01-01,Kedah,Pokok Sena,all,0
2022-01-01,Kedah,Sik,all,93
2022-01-01,Kedah,Yan,all,89
2022-01-01,Kelantan,All Districts,all,2970
2022-01-01,Kelantan,Bachok,all,0
2022-01-01,Kelantan,Gua Musang,all,90
2022-01-01,Kelantan,Jeli,all,80
2022-01-01,Kelantan,Kota Bharu,all,1811
2022-01-01,Kelantan,Kuala Krai,all,424
2022-01-01,Kelantan,Machang,all,90
2022-01-01,Kelantan,Pasir Mas,all,120
2022-01-01,Kelantan,Pasir Puteh,all,90
2022-01-01,Kelantan,Tanah Merah,all,146
2022-01-01,Kelantan,Tumpat,all,119
2022-01-01,Melaka,All Districts,all,1454
2022-01-01,Melaka,Alor Gajah,all,106
2022-01-01,Melaka,Jasin,all,103
2022-01-01,Melaka,Melaka Tengah,all,1245
2022-01-01,Negeri Sembilan,All Districts,all,1977
2022-01-01,Negeri Sembilan,Jelebu,all,76
2022-01-01,Negeri Sembilan,Jempol,all,108
2022-01-01,Negeri Sembilan,Kuala Pilah,all,314
2022-01-01,Negeri Sembilan,Port Dickson,all,116
2022-01-01,Negeri Sembilan,Rembau,all,76
2022-01-01,Negeri Sembilan,Seremban,all,1143
2022-01-01,Negeri Sembilan,Tampin,all,144
2022-01-01,Pahang,All Districts,all,2681
2022-01-01,Pahang,Bentong,all,152
2022-01-01,Pahang,Bera,all,40
2022-01-01,Pahang,Cameron Highlands,all,40
2022-01-01,Pahang,Jerantut,all,77
2022-01-01,Pahang,Kuantan,all,1176
2022-01-01,Pahang,Lipis,all,168
2022-01-01,Pahang,Maran,all,70
2022-01-01,Pahang,Pekan,all,110
2022-01-01,Pahang,Raub,all,89
2022-01-01,Pahang,Rompin,all,109
2022-01-01,Pahang,Temerloh,all,650
2022-01-01,Perak,All Districts,all,5887
2022-01-01,Perak,Batang Padang (Tapah),all,350
2022-01-01,Perak,Hilir Perak,all,548
2022-01-01,Perak,Hulu Perak,all,75
2022-01-01,Perak,Kampar,all,68
2022-01-01,Perak,Kerian,all,100
2022-01-01,Perak,Kinta (Ipoh),all,3354
2022-01-01,Perak,Kuala Kangsar,all,229
2022-01-01,Perak,Larut & Matang (Taiping),all,698
2022-01-01,Perak,Manjung (Sitiawan),all,415
2022-01-01,Perak,Perak Tengah,all,50
2022-01-01,Perlis,All Districts,all,508
2022-01-01,Perlis,Perlis,all,508
2022-01-01,Pulau Pinang,All Districts,all,2138
2022-01-01,Pulau Pinang,Barat Daya,all,81
2022-01-01,Pulau Pinang,Seberang Perai Selatan,all,105
2022-01-01,Pulau Pinang,Seberang Perai Tengah,all,655
2022-01-01,Pulau Pinang,Seberang Perai Utara (Butterworth),all,134
2022-01-01,Pulau Pinang,Timur Laut (Georgetown),all,1163
2022-01-01,Sabah,All Districts,all,5053
2022-01-01,Sabah,Beaufort,all,275
2022-01-01,Sabah,Beluran,all,52
2022-01-01,Sabah,Keningau,all,216
2022-01-01,Sabah,Kinabatangan,all,68
2022-01-01,Sabah,Kota Belud,all,172
2022-01-01,Sabah,Kota Kinabalu,all,2175
2022-01-01,Sabah,Kota Marudu,all,97
