date,state,district,type,beds
2015-01-01,Malaysia,All,all,45087
2015-01-01,Malaysia,All,hospital_moh,36447
2015-01-01,Malaysia,All,hospital_non_moh,3698
2015-01-01,Malaysia,All,special_medical_institution,4942
2016-01-01,Malaysia,All,all,45678
2016-01-01,Malaysia,All,hospital_moh,37293
2016-01-01,Malaysia,All,hospital_non_moh,3683
2016-01-01,Malaysia,All,special_medical_institution,4702
2017-01-01,Malaysia,All,all,46054
2017-01-01,Malaysia,All,hospital_moh,37330
2017-01-01,Malaysia,All,hospital_non_moh,3892
2017-01-01,Malaysia,All,special_medical_institution,4832
2018-01-01,Malaysia,All,all,46611
2018-01-01,Malaysia,All,hospital_moh,37609
2018-01-01,Malaysia,All,hospital_non_moh,4187
2018-01-01,Malaysia,All,special_medical_institution,4815
2019-01-01,Malaysia,All,all,46988
2019-01-01,Malaysia,All,hospital_moh,38131
2019-01-01,Malaysia,All,hospital_non_moh,4052
2019-01-01,Malaysia,All,special_medical_institution,4805
2020-01-01,Malaysia,All,all,48305
2020-01-01,Malaysia,All,hospital_moh,38543
2020-01-01,Malaysia,All,hospital_non_moh,4188
2020-01-01,Malaysia,All,special_medical_institution,5574
2021-01-01,Malaysia,All,all,49781
2021-01-01,Malaysia,All,hospital_moh,39263
2021-01-01,Malaysia,All,hospital_non_moh,4932
2021-01-01,Malaysia,All,special_medical_institution,5586
2022-01-01,Malaysia,All,all,49985
2022-01-01,Malaysia,All,hospital_moh,39581
2022-01-01,Malaysia,All,hospital_non_moh,4818
2022-01-01,Malaysia,All,special_medical_institution,5586
