date,variable,sector,expenditure
2013-01-01,teh,total,41647484541.27322
2014-01-01,teh,total,46780109283.44863
2015-01-01,teh,total,50255624236.79969
2016-01-01,teh,total,51755635964.039604
2017-01-01,teh,total,56404358074.130356
2018-01-01,teh,total,60527554909.16942
2019-01-01,teh,total,64336469446.433655
2020-01-01,teh,total,67051078193.26118
2021-01-01,teh,total,77703455095.63367
2022-01-01,teh,total,78944896318.38548
2013-01-01,ceh,total,36289891765.9359
2014-01-01,ceh,total,41636284287.7193
2015-01-01,ceh,total,44983080933.312775
2016-01-01,ceh,total,46189876167.06848
2017-01-01,ceh,total,50975229880.10358
2018-01-01,ceh,total,54143028870.5367
2019-01-01,ceh,total,57502170719.39758
2020-01-01,ceh,total,57735106305.87494
2021-01-01,ceh,total,67820790901.50696
2022-01-01,ceh,total,69969421569.82805
2013-01-01,teh,private,18779974999.286217
2014-01-01,teh,private,20859324027.575123
2015-01-01,teh,private,23221848172.90081
2016-01-01,teh,private,25001283352.908928
2017-01-01,teh,private,27120967086.70596
2018-01-01,teh,private,29083538544.162216
2019-01-01,teh,private,30046275861.07804
2020-01-01,teh,private,30448083644.08667
2021-01-01,teh,private,32900453465.948368
2022-01-01,teh,private,37687771622.048454
2013-01-01,ceh,private,16685646252.845995
2014-01-01,ceh,private,18801027891.28919
2015-01-01,ceh,private,20951995410.093
2016-01-01,ceh,private,22472231980.990536
2017-01-01,ceh,private,24503904582.723682
2018-01-01,ceh,private,26098815581.867367
2019-01-01,ceh,private,26941751204.316322
2020-01-01,ceh,private,26743084170.561897
2021-01-01,ceh,private,29706319574.1031
2022-01-01,ceh,private,34483531640.23204
2013-01-01,teh,public,22867509541.987
2014-01-01,teh,public,25920785255.87351
2015-01-01,teh,public,27033776063.89888
2016-01-01,teh,public,26754352611.130676
2017-01-01,teh,public,29283390987.424393
2018-01-01,teh,public,31444016365.007202
2019-01-01,teh,public,34290193585.355614
2020-01-01,teh,public,36602994549.17451
2021-01-01,teh,public,44803001629.685295
2022-01-01,teh,public,41257124696.33703
2013-01-01,ceh,public,19604245513.0899
2014-01-01,ceh,public,22835256396.43011
2015-01-01,ceh,public,24031085523.219772
2016-01-01,ceh,public,23717644186.07795
2017-01-01,ceh,public,26471325297.379898
2018-01-01,ceh,public,28044213288.66933
2019-01-01,ceh,public,30560419515.081264
2020-01-01,ceh,public,30992022135.313038
2021-01-01,ceh,public,38114471327.403854
2022-01-01,ceh,public,35485889929.59601
