state,date,proportion
Malaysia,2001-01-01,96.85
Malaysia,2002-01-01,98.66
Malaysia,2003-01-01,98.67
Malaysia,2004-01-01,98.57
Malaysia,2005-01-01,98.02
Malaysia,2006-01-01,98.26
Malaysia,2007-01-01,97.88
Malaysia,2008-01-01,97.93
Malaysia,2009-01-01,97.92
Malaysia,2010-01-01,97.67
Malaysia,2011-01-01,97.29
Malaysia,2012-01-01,97.08
Malaysia,2013-01-01,96.0
Malaysia,2014-01-01,96.14
Malaysia,2015-01-01,95.83
Malaysia,2016-01-01,96.04
Malaysia,2017-01-01,96.32
Malaysia,2018-01-01,95.92
Malaysia,2019-01-01,95.25
Malaysia,2020-01-01,95.91
Malaysia,2021-01-01,96.38
Malaysia,2022-01-01,96.11
Johor,2001-01-01,99.3
Johor,2002-01-01,99.54
Johor,2003-01-01,99.62
Johor,2004-01-01,99.66
Johor,2005-01-01,99.66
Johor,2006-01-01,99.81
Johor,2007-01-01,99.9
Johor,2008-01-01,99.63
Johor,2009-01-01,99.5
Johor,2010-01-01,99.26
Johor,2011-01-01,99.07
Johor,2012-01-01,99.56
Johor,2013-01-01,99.6
Johor,2014-01-01,99.19
Johor,2015-01-01,98.1
Johor,2016-01-01,98.53
Johor,2017-01-01,97.91
Johor,2018-01-01,98.78
Johor,2019-01-01,97.66
Johor,2020-01-01,98.86
Johor,2021-01-01,98.89
Johor,2022-01-01,98.39
Kedah,2001-01-01,99.9
Kedah,2002-01-01,99.8
Kedah,2003-01-01,99.55
Kedah,2004-01-01,99.43
Kedah,2005-01-01,98.34
Kedah,2006-01-01,98.69
Kedah,2007-01-01,98.56
Kedah,2008-01-01,98.56
Kedah,2009-01-01,99.13
Kedah,2010-01-01,99.11
Kedah,2011-01-01,99.19
Kedah,2012-01-01,99.29
Kedah,2013-01-01,99.2
Kedah,2014-01-01,98.97
Kedah,2015-01-01,98.14
Kedah,2016-01-01,98.43
Kedah,2017-01-01,97.57
Kedah,2018-01-01,97.78
Kedah,2019-01-01,97.39
Kedah,2020-01-01,97.74
Kedah,2021-01-01,99.05
Kedah,2022-01-01,97.41
Kelantan,2001-01-01,88.46
Kelantan,2002-01-01,96.33
Kelantan,2003-01-01,98.45
Kelantan,2004-01-01,98.42
Kelantan,2005-01-01,98.45
Kelantan,2006-01-01,98.7
Kelantan,2007-01-01,97.42
Kelantan,2008-01-01,98.68
Kelantan,2009-01-01,98.76
Kelantan,2010-01-01,98.54
Kelantan,2011-01-01,98.53
Kelantan,2012-01-01,98.17
Kelantan,2013-01-01,98.5
Kelantan,2014-01-01,98.66
Kelantan,2015-01-01,98.77
Kelantan,2016-01-01,99.11
Kelantan,2017-01-01,98.94
Kelantan,2018-01-01,97.84
Kelantan,2019-01-01,98.15
Kelantan,2020-01-01,99.49
Kelantan,2021-01-01,99.6
Kelantan,2022-01-01,99.15
Melaka,2001-01-01,100.0
Melaka,2002-01-01,100.0
Melaka,2003-01-01,99.36
Melaka,2004-01-01,99.11
Melaka,2005-01-01,99.17
Melaka,2006-01-01,99.13
Melaka,2007-01-01,99.82
Melaka,2008-01-01,99.92
Melaka,2009-01-01,99.79
Melaka,2010-01-01,99.83
Melaka,2011-01-01,99.97
Melaka,2012-01-01,100.0
Melaka,2013-01-01,100.0
Melaka,2014-01-01,100.0
Melaka,2015-01-01,99.98
Melaka,2016-01-01,99.98
Melaka,2017-01-01,99.99
Melaka,2018-01-01,100.0
Melaka,2019-01-01,100.0
Melaka,2020-01-01,100.0
Melaka,2021-01-01,100.0
Melaka,2022-01-01,100.0
Negeri Sembilan,2001-01-01,99.91
Negeri Sembilan,2002-01-01,99.9
Negeri Sembilan,2003-01-01,99.94
Negeri Sembilan,2004-01-01,99.91
Negeri Sembilan,2005-01-01,99.92
Negeri Sembilan,2006-01-01,99.93
Negeri Sembilan,2007-01-01,99.96
Negeri Sembilan,2008-01-01,99.72
Negeri Sembilan,2009-01-01,99.15
Negeri Sembilan,2010-01-01,99.39
Negeri Sembilan,2011-01-01,99.44
Negeri Sembilan,2012-01-01,98.07
Negeri Sembilan,2013-01-01,99.4
Negeri Sembilan,2014-01-01,99.43
Negeri Sembilan,2015-01-01,99.28
Negeri Sembilan,2016-01-01,92.84
Negeri Sembilan,2017-01-01,92.94
Negeri Sembilan,2018-01-01,99.12
Negeri Sembilan,2019-01-01,98.91
Negeri Sembilan,2020-01-01,98.93
Negeri Sembilan,2021-01-01,99.16
Negeri Sembilan,2022-01-01,99.28
Pahang,2001-01-01,99.56
Pahang,2002-01-01,99.53
Pahang,2003-01-01,99.69
Pahang,2004-01-01,98.95
Pahang,2005-01-01,94.73
