state,date,income_mean,income_median
Johor,1970-01-01,237,
Johor,1974-01-01,382,269.0
Johor,1976-01-01,513,370.0
Johor,1979-01-01,731,518.0
Johor,1984-01-01,1065,793.0
Johor,1987-01-01,1060,816.0
Johor,1989-01-01,1150,880.0
Johor,1992-01-01,1713,1225.0
Johor,1995-01-01,2138,1610.0
Johor,1997-01-01,2772,2056.0
Johor,1999-01-01,2646,2012.0
Johor,2002-01-01,2963,2212.0
Johor,2004-01-01,3076,2325.0
Johor,2007-01-01,3457,2726.0
Johor,2009-01-01,3835,2958.0
Johor,2012-01-01,4658,3650.0
Johor,2014-01-01,6207,5197.0
Johor,2016-01-01,6928,5652.0
Johor,2019-01-01,8013,6427.0
Johor,2020-01-01,7264,5690.0
Johor,2022-01-01,8517,6879.0
Johor,2024-01-01,9484,7712.0
Kedah,1970-01-01,189,
Kedah,1974-01-01,256,151.0
Kedah,1976-01-01,306,193.0
Kedah,1979-01-01,382,259.0
Kedah,1984-01-01,690,472.0
Kedah,1987-01-01,718,531.0
Kedah,1989-01-01,749,552.0
Kedah,1992-01-01,1048,758.0
Kedah,1995-01-01,1295,990.0
Kedah,1997-01-01,1590,1171.0
Kedah,1999-01-01,1612,1225.0
Kedah,2002-01-01,1966,1451.0
Kedah,2004-01-01,2126,1607.0
Kedah,2007-01-01,2408,1756.0
Kedah,2009-01-01,2667,1966.0
Kedah,2012-01-01,3425,2633.0
Kedah,2014-01-01,4478,3451.0
Kedah,2016-01-01,4971,3811.0
Kedah,2019-01-01,5522,4325.0
Kedah,2020-01-01,5005,3829.0
Kedah,2022-01-01,5550,4402.0
Kedah,2024-01-01,5793,4895.0
Kelantan,1970-01-01,151,
Kelantan,1974-01-01,231,108.0
Kelantan,1976-01-01,269,163.0
Kelantan,1979-01-01,341,256.0
Kelantan,1984-01-01,625,436.0
Kelantan,1987-01-01,667,482.0
Kelantan,1989-01-01,712,528.0
Kelantan,1992-01-01,907,632.0
Kelantan,1995-01-01,1091,789.0
Kelantan,1997-01-01,1249,872.0
Kelantan,1999-01-01,1314,946.0
Kelantan,2002-01-01,1674,1154.0
Kelantan,2004-01-01,1829,1258.0
Kelantan,2007-01-01,2143,1510.0
Kelantan,2009-01-01,2536,1713.0
Kelantan,2012-01-01,3168,2276.0
Kelantan,2014-01-01,3715,2716.0
Kelantan,2016-01-01,4214,3079.0
Kelantan,2019-01-01,4874,3563.0
Kelantan,2020-01-01,4411,3010.0
Kelantan,2022-01-01,4885,3614.0
Kelantan,2024-01-01,5265,4083.0
Melaka,1970-01-01,265,
Melaka,1974-01-01,410,255.0
Melaka,1976-01-01,568,350.0
Melaka,1979-01-01,772,528.0
Melaka,1984-01-01,1040,738.0
Melaka,1987-01-01,1034,780.0
Melaka,1989-01-01,1084,828.0
Melaka,1992-01-01,1459,1118.0
Melaka,1995-01-01,1843,1391.0
Melaka,1997-01-01,2276,1793.0
Melaka,1999-01-01,2260,1715.0
Melaka,2002-01-01,2650,2051.0
Melaka,2004-01-01,2791,2308.0
Melaka,2007-01-01,3421,2717.0
Melaka,2009-01-01,4184,3005.0
Melaka,2012-01-01,4759,3923.0
Melaka,2014-01-01,6046,5029.0
Melaka,2016-01-01,6849,5588.0
Melaka,2019-01-01,7741,6054.0
Melaka,2020-01-01,7186,5447.0
Melaka,2022-01-01,8057,6210.0
Melaka,2024-01-01,8686,6891.0
Negeri Sembilan,1970-01-01,286,
Negeri Sembilan,1974-01-01,386,273.0
Negeri Sembilan,1976-01-01,505,348.0
Negeri Sembilan,1979-01-01,629,486.0
Negeri Sembilan,1984-01-01,1039,753.0
Negeri Sembilan,1987-01-01,908,674.0
Negeri Sembilan,1989-01-01,1083,842.0
Negeri Sembilan,1992-01-01,1380,987.0
Negeri Sembilan,1995-01-01,1767,1358.0
Negeri Sembilan,1997-01-01,2378,1731.0
Negeri Sembilan,1999-01-01,2335,1777.0
Negeri Sembilan,2002-01-01,2739,2080.0
Negeri Sembilan,2004-01-01,2886,2288.0
Negeri Sembilan,2007-01-01,3336,2556.0
Negeri Sembilan,2009-01-01,3540,2711.0
Negeri Sembilan,2012-01-01,4576,3575.0
Negeri Sembilan,2014-01-01,5271,4128.0
Negeri Sembilan,2016-01-01,5887,4579.0
Negeri Sembilan,2019-01-01,6707,5005.0
Negeri Sembilan,2020-01-01,6184,4478.0
Negeri Sembilan,2022-01-01,6788,5226.0
Negeri Sembilan,2024-01-01,7305,5591.0
Pahang,1970-01-01,286,
Pahang,1974-01-01,305,210.0
Pahang,1976-01-01,477,324.0
Pahang,1979-01-01,702,481.0
Pahang,1984-01-01,960,731.0
Pahang,1987-01-01,900,697.0
Pahang,1989-01-01,961,764.0
Pahang,1992-01-01,1262,957.0
Pahang,1995-01-01,1436,1138.0
Pahang,1997-01-01,1632,1259.0
Pahang,1999-01-01,1482,1202.0
Pahang,2002-01-01,1991,1423.0
Pahang,2004-01-01,2410,1783.0
Pahang,2007-01-01,2995,2235.0
