state,district,date,gini
Johor,Batu Pahat,2019-01-01,0.295
Johor,Batu Pahat,2022-01-01,0.338
Johor,Batu Pahat,2024-01-01,0.316
Johor,Johor Bahru,2019-01-01,0.388
Johor,Johor Bahru,2022-01-01,0.359
Johor,Johor Bahru,2024-01-01,0.35
Johor,Kluang,2019-01-01,0.333
Johor,Kluang,2022-01-01,0.354
Johor,Kluang,2024-01-01,0.292
Johor,Kota Tinggi,2019-01-01,0.361
Johor,Kota Tinggi,2022-01-01,0.343
Johor,Kota Tinggi,2024-01-01,0.379
Johor,Kulai,2019-01-01,0.324
Johor,Kulai,2022-01-01,0.337
Johor,Kulai,2024-01-01,0.319
Johor,Mersing,2019-01-01,0.377
Johor,Mersing,2022-01-01,0.339
Johor,Mersing,2024-01-01,0.263
Johor,Muar,2019-01-01,0.353
Johor,Muar,2022-01-01,0.394
Johor,Muar,2024-01-01,0.306
Johor,Pontian,2019-01-01,0.354
Johor,Pontian,2022-01-01,0.361
Johor,Pontian,2024-01-01,0.341
Johor,Segamat,2019-01-01,0.315
Johor,Segamat,2022-01-01,0.34
Johor,Segamat,2024-01-01,0.292
Johor,Tangkak,2019-01-01,0.322
Johor,Tangkak,2022-01-01,0.371
Johor,Tangkak,2024-01-01,0.306
Kedah,Baling,2019-01-01,0.339
Kedah,Baling,2022-01-01,0.347
Kedah,Baling,2024-01-01,0.324
Kedah,Bandar Baharu,2019-01-01,0.324
Kedah,Bandar Baharu,2022-01-01,0.291
Kedah,Bandar Baharu,2024-01-01,0.339
Kedah,Kota Setar,2019-01-01,0.352
Kedah,Kota Setar,2022-01-01,0.348
Kedah,Kota Setar,2024-01-01,0.328
Kedah,Kuala Muda,2019-01-01,0.384
Kedah,Kuala Muda,2022-01-01,0.404
Kedah,Kuala Muda,2024-01-01,0.333
Kedah,Kubang Pasu,2019-01-01,0.361
Kedah,Kubang Pasu,2022-01-01,0.325
Kedah,Kubang Pasu,2024-01-01,0.317
Kedah,Kulim,2019-01-01,0.331
Kedah,Kulim,2022-01-01,0.358
Kedah,Kulim,2024-01-01,0.349
Kedah,Langkawi,2019-01-01,0.276
Kedah,Langkawi,2022-01-01,0.302
Kedah,Langkawi,2024-01-01,0.335
Kedah,Padang Terap,2019-01-01,0.307
Kedah,Padang Terap,2022-01-01,0.323
Kedah,Padang Terap,2024-01-01,0.292
Kedah,Pendang,2019-01-01,0.312
Kedah,Pendang,2022-01-01,0.349
Kedah,Pendang,2024-01-01,0.347
Kedah,Pokok Sena,2019-01-01,0.303
Kedah,Pokok Sena,2022-01-01,0.31
Kedah,Pokok Sena,2024-01-01,0.27
Kedah,Sik,2019-01-01,0.32
Kedah,Sik,2022-01-01,0.333
Kedah,Sik,2024-01-01,0.325
Kedah,Yan,2019-01-01,0.369
Kedah,Yan,2022-01-01,0.291
Kedah,Yan,2024-01-01,0.293
Kelantan,Bachok,2019-01-01,0.361
Kelantan,Bachok,2022-01-01,0.374
Kelantan,Bachok,2024-01-01,0.349
Kelantan,Gua Musang,2019-01-01,0.367
Kelantan,Gua Musang,2022-01-01,0.36
Kelantan,Gua Musang,2024-01-01,0.302
Kelantan,Jeli,2019-01-01,0.328
Kelantan,Jeli,2022-01-01,0.35
Kelantan,Jeli,2024-01-01,0.315
Kelantan,Kecil Lojing,2019-01-01,0.233
Kelantan,Kecil Lojing,2022-01-01,0.365
Kelantan,Kecil Lojing,2024-01-01,0.218
Kelantan,Kota Bharu,2019-01-01,0.381
Kelantan,Kota Bharu,2022-01-01,0.384
Kelantan,Kota Bharu,2024-01-01,0.361
Kelantan,Kuala Krai,2019-01-01,0.382
Kelantan,Kuala Krai,2022-01-01,0.399
Kelantan,Kuala Krai,2024-01-01,0.342
Kelantan,Machang,2019-01-01,0.352
Kelantan,Machang,2022-01-01,0.414
Kelantan,Machang,2024-01-01,0.331
Kelantan,Pasir Mas,2019-01-01,0.381
Kelantan,Pasir Mas,2022-01-01,0.362
Kelantan,Pasir Mas,2024-01-01,0.365
