date,percentile,variable,income
2024-01-01,1,mean,1334.0
2024-01-01,2,mean,1683.0
2024-01-01,3,mean,1906.0
2024-01-01,4,mean,2085.0
2024-01-01,5,mean,2230.0
2024-01-01,6,mean,2369.0
2024-01-01,7,mean,2498.0
2024-01-01,8,mean,2609.0
2024-01-01,9,mean,2723.0
2024-01-01,10,mean,2835.0
2024-01-01,11,mean,2935.0
2024-01-01,12,mean,3033.0
2024-01-01,13,mean,3120.0
2024-01-01,14,mean,3211.0
2024-01-01,15,mean,3307.0
2024-01-01,16,mean,3400.0
2024-01-01,17,mean,3490.0
2024-01-01,18,mean,3585.0
2024-01-01,19,mean,3677.0
2024-01-01,20,mean,3769.0
2024-01-01,21,mean,3863.0
2024-01-01,22,mean,3967.0
2024-01-01,23,mean,4076.0
2024-01-01,24,mean,4173.0
2024-01-01,25,mean,4274.0
2024-01-01,26,mean,4376.0
2024-01-01,27,mean,4478.0
2024-01-01,28,mean,4578.0
2024-01-01,29,mean,4685.0
2024-01-01,30,mean,4791.0
2024-01-01,31,mean,4891.0
2024-01-01,32,mean,5000.0
2024-01-01,33,mean,5098.0
2024-01-01,34,mean,5197.0
2024-01-01,35,mean,5298.0
2024-01-01,36,mean,5401.0
2024-01-01,37,mean,5507.0
2024-01-01,38,mean,5609.0
2024-01-01,39,mean,5708.0
2024-01-01,40,mean,5810.0
2024-01-01,41,mean,5907.0
2024-01-01,42,mean,6037.0
2024-01-01,43,mean,6193.0
2024-01-01,44,mean,6337.0
2024-01-01,45,mean,6449.0
2024-01-01,46,mean,6559.0
2024-01-01,47,mean,6668.0
2024-01-01,48,mean,6774.0
2024-01-01,49,mean,6872.0
2024-01-01,50,mean,6970.0
2024-01-01,51,mean,7095.0
2024-01-01,52,mean,7282.0
2024-01-01,53,mean,7453.0
2024-01-01,54,mean,7612.0
2024-01-01,55,mean,7753.0
2024-01-01,56,mean,7885.0
2024-01-01,57,mean,8019.0
2024-01-01,58,mean,8204.0
2024-01-01,59,mean,8398.0
2024-01-01,60,mean,8529.0
2024-01-01,61,mean,8673.0
2024-01-01,62,mean,8813.0
2024-01-01,63,mean,8954.0
2024-01-01,64,mean,9112.0
2024-01-01,65,mean,9264.0
2024-01-01,66,mean,9426.0
2024-01-01,67,mean,9591.0
2024-01-01,68,mean,9768.0
2024-01-01,69,mean,9985.0
2024-01-01,70,mean,10195.0
2024-01-01,71,mean,10370.0
2024-01-01,72,mean,10542.0
2024-01-01,73,mean,10720.0
2024-01-01,74,mean,10886.0
2024-01-01,75,mean,11071.0
2024-01-01,76,mean,11273.0
2024-01-01,77,mean,11484.0
2024-01-01,78,mean,11844.0
2024-01-01,79,mean,12232.0
2024-01-01,80,mean,12556.0
2024-01-01,81,mean,12787.0
2024-01-01,82,mean,13059.0
2024-01-01,83,mean,13357.0
2024-01-01,84,mean,13645.0
2024-01-01,85,mean,13941.0
2024-01-01,86,mean,14278.0
2024-01-01,87,mean,14685.0
2024-01-01,88,mean,15189.0
2024-01-01,89,mean,15665.0
2024-01-01,90,mean,16203.0
2024-01-01,91,mean,16842.0
2024-01-01,92,mean,17543.0
2024-01-01,93,mean,18384.0
2024-01-01,94,mean,19388.0
2024-01-01,95,mean,20708.0
2024-01-01,96,mean,22347.0
2024-01-01,97,mean,24810.0
2024-01-01,98,mean,27961.0
2024-01-01,99,mean,34880.0
2024-01-01,100,mean,67681.0
2024-01-01,1,median,1373.0
2024-01-01,2,median,1680.0
2024-01-01,3,median,1906.0
2024-01-01,4,median,2085.0
2024-01-01,5,median,2229.0
2024-01-01,6,median,2370.0
2024-01-01,7,median,2498.0
2024-01-01,8,median,2609.0
2024-01-01,9,median,2725.0
2024-01-01,10,median,2835.0
2024-01-01,11,median,2934.0
2024-01-01,12,median,3033.0
2024-01-01,13,median,3120.0
2024-01-01,14,median,3209.0
2024-01-01,15,median,3308.0
2024-01-01,16,median,3399.0
2024-01-01,17,median,3491.0
2024-01-01,18,median,3584.0
2024-01-01,19,median,3675.0
2024-01-01,20,median,3768.0
2024-01-01,21,median,3862.0
2024-01-01,22,median,3967.0
2024-01-01,23,median,4078.0
2024-01-01,24,median,4171.0
2024-01-01,25,median,4272.0
2024-01-01,26,median,4376.0
2024-01-01,27,median,4478.0
2024-01-01,28,median,4575.0
2024-01-01,29,median,4685.0
2024-01-01,30,median,4791.0
2024-01-01,31,median,4891.0
2024-01-01,32,median,5001.0
2024-01-01,33,median,5097.0
2024-01-01,34,median,5197.0
2024-01-01,35,median,5299.0
2024-01-01,36,median,5398.0
2024-01-01,37,median,5506.0
2024-01-01,38,median,5607.0
2024-01-01,39,median,5707.0
2024-01-01,40,median,5810.0
2024-01-01,41,median,5906.0
2024-01-01,42,median,6039.0
