state_code,state_name,district_code,district_name,latitude,longitude
1,Johor,,,2.03997,103.38775
2,Kedah,,,5.94458,100.61549
3,Kelantan,,,5.27997,102.02764
4,Melaka,,,2.32299,102.30274
5,Negeri Sembilan,,,2.77499,102.20521
6,Pahang,,,3.72973,102.54811
7,Pulau Pinang,,,5.36616,100.40133
8,Perak,,,4.76886,101.10402
9,Perlis,,,6.50446,100.2409
10,Selangor,,,3.27407,101.49815
11,Terengganu,,,4.92956,102.9502
12,Sabah,,,5.34813,117.1205
13,Sarawak,,,2.58438,113.28788
14,W.P. Kuala Lumpur,,,3.14718,101.68942
15,W.P. Labuan,,,5.30795,115.2206
16,W.P. Putrajaya,,,2.93172,101.69
1,Johor,1,Batu Pahat,1.93137,103.03217
1,Johor,2,Johor Bahru,1.51121,103.78007
1,Johor,3,Kluang,2.06593,103.38845
1,Johor,4,Kota Tinggi,1.76228,103.94974
1,Johor,5,Mersing,2.32439,103.719
1,Johor,6,Muar,2.12532,102.78465
1,Johor,7,Pontian,1.545,103.40027
1,Johor,8,Segamat,2.48489,102.96327
1,Johor,9,Kulai,1.68266,103.55476
1,Johor,10,Tangkak,2.27531,102.63942
2,Kedah,1,Baling,5.70894,100.8663
2,Kedah,2,Bandar Baharu,5.20289,100.61407
2,Kedah,3,Kota Setar,6.12009,100.36882
2,Kedah,4,Kuala Muda,5.69434,100.51198
2,Kedah,5,Kubang Pasu,6.35598,100.40108
2,Kedah,6,Kulim,5.39924,100.64652
2,Kedah,7,Langkawi,6.3459,99.79122
2,Kedah,8,Padang Terap,6.26465,100.69423
2,Kedah,9,Sik,5.98876,100.85269
2,Kedah,10,Yan,5.86225,100.39975
2,Kedah,11,Pendang,5.98432,100.54874
2,Kedah,12,Pokok Sena,6.15619,100.52707
3,Kelantan,1,Bachok,6.00344,102.37619
3,Kelantan,2,Kota Bharu,6.04884,102.26228
3,Kelantan,3,Machang,5.75019,102.24569
3,Kelantan,4,Pasir Mas,6.00112,102.08751
3,Kelantan,5,Pasir Puteh,5.84106,102.387
3,Kelantan,6,Tanah Merah,5.75482,102.03278
3,Kelantan,7,Tumpat,6.16841,102.16466
3,Kelantan,8,Gua Musang,5.00118,102.05993
3,Kelantan,9,Kuala Krai,5.41886,102.16613
3,Kelantan,10,Jeli,5.58449,101.82708
3,Kelantan,11,Kecil Lojing,4.77051,101.59969
4,Melaka,1,Alor Gajah,2.38443,102.19239
4,Melaka,2,Jasin,2.29845,102.43253
4,Melaka,3,Melaka Tengah,2.24134,102.25363
5,Negeri Sembilan,1,Jelebu,3.04203,102.11406
5,Negeri Sembilan,2,Kuala Pilah,2.72805,102.21927
5,Negeri Sembilan,3,Port Dickson,2.5413,101.88575
5,Negeri Sembilan,4,Rembau,2.55989,102.09838
5,Negeri Sembilan,5,Seremban,2.75544,101.91761
5,Negeri Sembilan,6,Tampin,2.55054,102.45792
5,Negeri Sembilan,7,Jempol,2.85612,102.47119
6,Pahang,1,Bentong,3.38414,102.01371
6,Pahang,2,Cameron Highlands,4.47306,101.47656
6,Pahang,3,Jerantut,4.25663,102.55096
6,Pahang,4,Kuantan,3.85929,103.09164
6,Pahang,5,Lipis,4.34999,101.91362
6,Pahang,6,Pekan,3.33944,103.1857
6,Pahang,7,Raub,3.86474,101.83221
6,Pahang,8,Temerloh,3.59312,102.26521
6,Pahang,9,Rompin,2.87233,103.13987
6,Pahang,10,Maran,3.61554,102.66817
6,Pahang,11,Bera,3.16879,102.5576
7,Pulau Pinang,1,Seberang Perai Tengah,5.36392,100.45953
7,Pulau Pinang,2,Seberang Perai Utara,5.49943,100.44364
7,Pulau Pinang,3,Seberang Perai Selatan,5.20885,100.47897
7,Pulau Pinang,4,Timur Laut,5.40676,100.28322
7,Pulau Pinang,5,Barat Daya,5.35722,100.23087
8,Perak,1,Batang Padang,4.13391,101.32103
8,Perak,2,Manjung,4.32647,100.70769
8,Perak,3,Kinta,4.57111,101.13383
8,Perak,4,Kerian,5.00666,100.56254
8,Perak,5,Kuala Kangsar,4.83304,101.09424
8,Perak,6,Larut Dan Matang,4.79945,100.72401
8,Perak,7,Hilir Perak,4.003,101.08992
8,Perak,8,Hulu Perak,5.4334,101.29486
